Date,port_lump,sp500_lump,world_lump,port_pac,port_pac_contributions,sp500_pac,world_pac
2008-11-30,15027.05166591019,10842.73660553092,10842.73660553092,12153.181224743023,13600.0,10591.733730465197,10591.733730465197
2008-12-31,15794.188212632464,10948.95628726048,10948.95628726048,12928.640684778182,13800.0,10895.494490017392,10895.49449001739
2009-01-31,14935.985004460581,10049.890870840254,10049.890870840254,12476.09705529781,14000.0,10200.8190493848,10200.819049384798
2009-02-28,13733.865782199156,8970.040351048745,8970.040351048745,11679.687209662594,14200.0,9304.751450806356,9304.751450806354
2009-03-31,14990.790528056306,9717.343925681413,9717.343925681414,12870.850916657719,14400.0,10279.940162130617,10279.940162130615
2009-04-30,16625.31544637381,10682.714681598232,10682.714681598232,14379.7628073107,14600.0,11501.2021120003,11501.202112000296
2009-05-31,18326.325840829035,11307.163220957356,11307.163220957356,15911.734324672745,14800.0,12373.494602605148,12373.494602605142
2009-06-30,18057.616720679234,11299.755665871418,11299.755665871418,15939.964649415118,15000.0,12565.388471908771,12565.388471908765
2009-07-31,19627.66595311255,12142.786573616535,12142.786573616535,17461.607871181935,15200.0,13702.843330480384,13702.843330480378
2009-08-31,19691.31045613382,12591.328464372185,12591.328464372185,17804.348778576,15400.0,14409.012093220283,14409.012093220277
2009-09-30,21011.64026238574,13037.788087848896,13037.788087848894,19094.723192819674,15600.0,15119.92260850174,15119.922608501733
2009-10-31,20504.51802619448,12787.127411023423,12787.127411023423,18854.953824836753,15800.0,15029.231426143282,15029.231426143277
2009-11-30,21923.924293293258,13574.90418564204,13574.90418564204,20364.306344206354,16000.0,16155.1375407314,16155.137540731395
2009-12-31,22377.649984003037,13834.20025904924,13834.200259049241,20978.020919168892,16200.0,16663.718999014953,16663.718999014945
2010-01-31,21165.8700965191,13331.430811922848,13331.430811922846,20118.612113037896,16400.0,16258.117762129283,16258.117762129272
2010-02-28,21665.561755118968,13747.295663282825,13747.295663282825,20827.37053436785,16600.0,16965.278607947428,16965.27860794742
2010-03-31,22976.09218276822,14584.229135476171,14584.22913547617,22255.277773431084,16800.0,18198.122439916508,18198.122439916497
2010-04-30,23302.90714269702,14809.849440683389,14809.849440683389,22784.49959014522,17000.0,18679.650239634408,18679.650239634397
2010-05-31,21516.41513983,13633.13678375781,13633.13678375781,21293.512468884008,17200.0,17395.46358723408,17395.46358723407
2010-06-30,20900.377502836713,12927.746907690687,12927.746907690687,20809.606238032113,17400.0,16695.407782135135,16695.407782135124
