date,strategia,nasdaq
1975-07-29,16847.105608048252,13666.115320927593
1975-07-30,16989.57942400344,13725.952135200734
1975-07-31,17050.773674049287,13752.729655855874
1975-08-01,16402.89909806102,13493.50931085124
1975-08-04,16141.515873166642,13388.025176495328
1975-08-05,15814.535930161348,13254.429770064757
1975-08-06,15838.130873172286,13266.318334888783
1975-08-07,15577.535160320209,13159.167507312355
1975-08-08,15557.921882240644,13152.868452742956
1975-08-11,15514.8546121166,13136.646517929948
1975-08-12,15569.49075111827,13161.761272550975
1975-08-13,15366.04570730115,13077.746425530037
1975-08-14,15113.486261230835,12972.232157280669
1975-08-15,15159.728820637014,12994.038197605993
1975-08-18,14943.68875905754,12903.398731200998
1975-08-19,14411.43949975426,12675.503275403456
1975-08-20,13983.0240886749,12488.937750097555
1975-08-21,14120.11013767906,12552.077498993656
1975-08-22,14321.082578333262,12643.33268244559
1975-08-25,14463.514506195776,12708.131977434585
1975-08-26,14222.720613417978,12604.24287288759
1975-08-27,14353.437765670316,12664.082866071729
1975-08-28,14908.339334682312,12910.818458619997
1975-08-29,15267.402928752394,13068.252902620034
1975-09-02,14830.6566170333,12883.31561777851
1975-09-03,14899.17776586572,12915.049522715288
1975-09-04,14914.412694237471,12923.626661965463
1975-09-05,14776.951238399168,12866.0404755049
1975-09-08,14651.558897271316,12813.413805297268
1975-09-09,14322.47427808891,12671.457799262484
1975-09-10,13810.29760529712,12446.783120947695
1975-09-11,13663.591069837665,12382.562753654056
1975-09-12,13612.602815760309,12361.351909495055
1975-09-15,13518.010609434714,12320.287315099928
1975-09-16,13264.089715474936,12206.42692643164
1975-09-17,13292.997838966903,12221.608133957165
1975-09-18,13616.992451022092,12372.45570377661
1975-09-19,14199.758959652192,12639.127145640656
1975-09-22,13999.074679596795,12551.736991860518
1975-09-23,14024.985756337592,12565.272883793035
1975-09-24,14202.34709780138,12646.648652595582
1975-09-25,14076.048358881037,12592.345325290114
1975-09-26,14087.215361758475,12599.264135831589
1975-09-29,13798.674553790985,12472.14894668683
1975-09-30,13414.347291165055,12300.347642690213
1975-10-01,13219.838260215334,12212.93474899607
1975-10-02,13345.60017195245,12272.80092315693
1975-10-03,13824.630757987934,12494.85024543994
1975-10-06,14015.383948848548,12582.859733630385
1975-10-07,13956.704164980214,12558.334280279973
1975-10-08,14221.876200807048,12679.450717257656
1975-10-09,14314.981666037163,12722.784644530111
1975-10-10,14345.051136274877,12737.982897554715
1975-10-13,14617.459349241532,12860.766435526266
1975-10-14,14798.303975082676,12942.177489131487
1975-10-15,14798.522360289417,12944.1399484968
1975-10-16,14802.528795976228,12947.75937136401
