date,2x cash 2x (strategia),2x + put (hold),3x cash 2x,Nasdaq 1x TR,2x nudo
2016-08-29,4483975.815187254,2160993.5837836587,9145209.950143639,1106966.6735989477,1375874.6573216766
2016-08-30,4468735.030160792,2153226.557611325,9098930.218517847,1105017.0659679319,1370927.225197479
2016-08-31,4452511.122350073,2144654.2528295787,9050132.848572116,1102976.3534009194,1365763.006690703
2016-09-01,4474356.386647685,2154870.921197683,9117022.003344135,1105962.466522485,1373057.8652260022
2016-09-02,4510441.740923506,2172355.659221578,9227184.10024077,1110789.4906792433,1384942.6140116355
2016-09-06,4552045.344441878,2192597.859590675,9354683.391614022,1116319.2652021854,1398630.0897106335
2016-09-07,4564617.520108853,2198363.44509371,9393719.989678478,1118042.7841052192,1402846.1866608348
2016-09-08,4524738.3247937765,2178393.060583813,9271142.2388969,1112895.913317219,1389827.2933886389
2016-09-09,4309687.295305951,2072915.918052235,8611554.039513122,1084659.2912781788,1319199.2994522396
2016-09-12,4444198.079424748,2138469.068522757,9013195.02264436,1102878.7605229171,1363420.722364871
2016-09-13,4353747.942326228,2093913.3755187914,8738985.366390998,1090919.5014004698,1333751.6468777326
2016-09-14,4382640.136606876,2107730.447162425,8825875.915405013,1094864.5582547807,1343300.138322001
2016-09-15,4502709.255884423,2166650.8205635874,9187154.250672106,1110956.6733474943,1382688.6728681861
2016-09-16,4494269.267369205,2162253.615537707,9161550.241378607,1109899.5886363946,1379955.8859282038
2016-09-19,4478684.788014124,2154263.8651886345,9114265.897513615,1107907.072218172,1374899.924668214
2016-09-20,4488628.225962523,2158963.4392404607,9144628.150857981,1109271.0400844582,1378184.326400416
2016-09-21,4574978.1149372365,2201607.561610752,9407540.404765818,1120689.9638464649,1406457.4269419229
2016-09-22,4646936.979981089,2237351.662118609,9628686.195812503,1130100.8824606116,1429975.4384469306
2016-09-23,4591377.49852281,2209436.3774765,9456696.307746837,1122980.4189369683,1411850.6742346957
2016-09-26,4512585.582301889,2169985.5815353235,9214285.386195254,1112792.8095237513,1386130.5811997936
2016-09-27,4590112.567960905,2208267.8971317457,9450936.813182466,1123025.4224537108,1411520.966398034
2016-09-28,4610887.892238983,2218497.4465295332,9514907.74858981,1125769.888104596,1418316.3332413498
2016-09-29,4529939.762802799,2177778.691900337,9265509.92806692,1115340.2849377792,1391932.4591914306
2016-09-30,4599178.129307025,2212270.1840076093,9476977.481162883,1124437.0779865582,1414535.6698475496
2016-10-03,4580823.771759591,2202878.009478811,9420602.172698246,1122107.891542664,1408571.6174532112
2016-10-04,4562385.239662422,2193452.722583268,9364078.646576812,1119761.6421947384,1402577.7603669346
2016-10-05,4605115.67385485,2214750.5838645888,9495052.441716004,1125368.390171763,1416520.4611485128
2016-10-06,4589979.418854555,2207006.506519456,9448515.149354666,1123453.9692027199,1411597.0416546047
2016-10-07,4566258.1198852975,2194958.0713746073,9375668.541082427,1120421.6286316658,1403873.2641130388
2016-10-10,4625174.255582752,2224464.928793977,9556251.927695742,1128126.8094380011,1423079.17827518
2016-10-11,4490879.133304969,2156880.263247188,9141938.21189135,1110818.9702645186,1379308.6478335017
2016-10-12,4478200.702263539,2150360.8720557117,9103505.232260799,1109200.396325519,1375187.8087522886
2016-10-13,4436702.878283931,2129409.7613450293,8977728.081606368,1103787.7556006706,1361665.657267521
2016-10-14,4437857.822764953,2129784.764904287,8981311.783777406,1103989.7838272462,1362064.1498679908
2016-10-17,4414740.749383731,2118040.4678308135,8911612.112371443,1100979.8027501258,1354536.9373970223
2016-10-18,4484970.047626995,2153170.4114245744,9122961.893659124,1110326.5611236014,1377436.1560711395
2016-10-19,4488984.193267503,2155062.9821298285,9135182.884099856,1110897.233435575,1378750.9509537616
2016-10-20,4481463.889273827,2151149.397041997,9112407.395353092,1109953.87811879,1376308.1087147577
2016-10-21,4506427.799210544,2163597.3225521734,9188144.251386965,1113277.2050557502,1384448.7132339808
2016-10-24,4591106.0837999955,2206246.085873692,9445623.550377296,1124406.028511834,1412026.2306005023
2016-10-25,4547811.55097429,2184280.665907516,9312746.464929756,1118835.9639242506,1397932.8240622003
2016-10-26,4493847.982616677,2156930.185657216,9147950.158385862,1111846.8734105888,1380365.119416061
2016-10-27,4438334.725799225,2128797.9166183393,8979503.240669928,1104609.6946651607,1362293.7741917076
2016-10-28,4396721.024279337,2107698.3973911107,8854068.147188606,1099157.3627201135,1348745.2534412497
2016-10-31,4395072.613769394,2106761.2369718524,8849153.319058418,1098980.2329827393,1348211.5365208387
2016-11-01,4338205.042124002,2077953.9677433234,8678630.764827687,1091475.3245790023,1329698.2202399338
2016-11-02,4262031.400872328,2039464.606267475,8451763.155213896,1081333.2334557471,1304888.7146056646
2016-11-03,4187936.9136395846,2002086.5646564492,8233159.966976019,1071370.8061745774,1280748.2704477115
2016-11-04,4169100.829119554,1992465.892136032,8178146.025594884,1068846.23583646,1274617.8472981397
2016-11-07,4354803.029940302,2085971.199932132,8719552.591880966,1094245.8777527849,1335102.8036169305
2016-11-08,4398076.033976543,2107792.1529440735,8848556.87561925,1100058.6435843746,1349188.7139486386
2016-11-09,4489915.1651033545,2154286.501448945,9123707.25022755,1112281.0508424817,1379069.95795094
2016-11-10,4421576.598901352,2119587.922677321,8916763.054069962,1103353.9026899734,1356831.3869960906
2016-11-11,4466806.433998785,2142482.6248899517,9052616.166639566,1109376.9505524829,1371544.7287995778
2016-11-14,4436581.819740508,2127107.82888982,8961361.5995854,1105440.0333775694,1361708.918149655
2016-11-15,4528287.661752938,2173627.4757733545,9237251.814900583,1117587.6007703734,1391535.770943347
2016-11-16,4558944.673359939,2189173.5577859613,9330461.221174072,1121630.688969048,1401501.3591887697
2016-11-17,4622968.04908739,2221672.5978467087,9525808.810191084,1130002.0007447684,1422318.1786307094
2016-11-18,4602442.23850075,2211231.947852653,9462712.87064557,1127389.1584278296,1415635.6996929205
2016-11-21,4679812.8007870605,2250518.423107898,9699942.90897352,1137447.3622568771,1440790.9060029462
2016-11-22,4708585.326062826,2265120.975934946,9788925.664490208,1141179.9277098826,1450140.553528582
2016-11-23,4699104.132280776,2260292.380955912,9759494.07378443,1140005.8397527249,1447049.6032791515
2016-11-25,4729178.6606711075,2275556.863574271,9852702.692855917,1143897.4415874172,1456822.2920512306
2016-11-28,4679118.160383328,2250115.5704407897,9696999.759136591,1137545.1428019803,1440534.6944511002
2016-11-29,4697358.9123353055,2259368.99634799,9753396.443389816,1139926.188492969,1446458.862124494
2016-11-30,4604273.461325941,2212072.5662152763,9464930.978342395,1128036.9515912698,1416179.4582383046
2016-12-01,4485436.974263246,2151695.0448676916,9100581.249148492,1112686.8539393658,1377525.4603393588
2016-12-02,4492651.764185979,2155348.176290991,9122357.167430833,1113675.3605934267,1379864.2560336217
2016-12-05,4578508.533489337,2198948.356620645,9382058.928371882,1124983.5142096884,1407777.3112141255
2016-12-06,4617716.506995331,2218852.0866845474,9501811.660574934,1130119.3144145582,1420519.7751947716
2016-12-07,4717138.87344393,2269342.0371675347,9806890.985421807,1143021.8613707633,1452843.6842822367
2016-12-08,4756118.807240923,2289129.656338255,9927808.876238933,1148050.305138553,1465511.813223732
2016-12-09,4801156.403400385,2311994.266419839,10068126.859329632,1153829.1944911291,1480149.8465420005
2016-12-12,4747601.943866333,2284778.341025484,9900365.639905555,1147083.531159856,1462726.0802372796
2016-12-13,4832732.687700869,2328008.51770887,10165353.470666276,1157980.777803981,1490402.2472214578
2016-12-14,4787049.671135345,2304790.938583521,10021775.884818848,1152252.1414240028,1475538.2414241263
2016-12-15,4820616.428888992,2313533.1051237117,10126674.93002204,1156556.5784823776,1486445.9770851026
2016-12-16,4787511.438039703,2299401.4348800783,10022762.967326423,1152410.9147308848,1475672.2980296593
2016-12-19,4821244.480639275,2311423.238289154,10128182.021097207,1156736.671526295,1486634.1059048325
2016-12-20,4865522.090123842,2328399.4079385637,10267075.4447618,1162381.0445997508,1501024.9678405984
2016-12-21,4844343.609092787,2319387.7532143365,10200264.835432645,1159757.1387041248,1494129.7440688678
2016-12-22,4803899.903323389,2302682.7036937103,10073009.81030083,1154695.394621206,1480969.5378102795
2016-12-23,4829313.585354806,2312324.2710625194,10152554.92534861,1157959.6896496639,1489225.9159891158
2016-12-27,4870691.5040854355,2328428.397796684,10282451.058884108,1163233.6685044863,1502673.8056205485
2016-12-28,4788250.675688096,2294852.163124969,10022372.92685364,1152899.7522063684,1475856.2839862956
2016-12-29,4777334.7012377875,2289840.920825509,9988215.886723561,1151555.6058570037,1472298.3863619617
2016-12-30,4695589.247503574,2257121.7810994135,9732984.738703242,1141201.8694922263,1445706.9964632092
2017-01-03,4771367.218340826,2284104.4999532397,9967315.520065475,1150972.38538302,1470341.655900516
2017-01-04,4851046.984558364,2315573.2556595784,10215776.962600043,1161158.8783190881,1496245.1643378928
2017-01-05,4869288.045633853,2322017.889428226,10273102.635609524,1163505.862204284,1502169.0264180228
2017-01-06,4924903.1024329,2341151.2782874536,10448349.722028757,1170555.4073316897,1520246.7764540906
2017-01-09,4942982.221794991,2347770.52165756,10505614.918261906,1172864.5247236127,1526117.9740721472
2017-01-10,4976773.371025648,2361219.224982421,10612906.54964629,1177132.8793024695,1537098.6663949487
2017-01-11,4996773.026711944,2368769.561703899,10676608.905675665,1179669.196235937,1543594.4139055677
2017-01-12,4969054.930440505,2353149.25293566,10587986.11064825,1176270.9244884013,1534572.5195994228
2017-01-13,5014216.032524316,2370445.982952982,10731788.86869621,1181945.44054089,1549250.6772244044
2017-01-17,4953576.76491726,2342541.1919269427,10537638.226876585,1174469.4002989207,1529522.9350091326
2017-01-18,4982169.747420235,2353968.578766839,10628502.417478278,1178085.177410389,1538813.198237743
2017-01-19,4955502.794433413,2342535.488744133,10543382.180898229,1174811.618883914,1530133.1287380697
2017-01-20,4967768.285024981,2352827.80807851,10596831.072718112,1178073.4566949096,1538502.3774903512
2017-01-23,4957563.868236903,2348715.5341778323,10570530.394204466,1177594.6492989475,1537123.5740781396
2017-01-24,5020462.916312434,2381861.1718375515,10791737.391954143,1187806.1429958104,1563653.7668061017
2017-01-25,5097348.219789119,2421730.045219052,11059562.471772185,1199578.9402955768,1594519.3936939233
2017-01-26,5090176.858626409,2418987.028152819,11041792.65671965,1199361.5629272952,1593808.6269234424
2017-01-27,5096682.012486412,2422565.406230569,11066353.091304062,1200577.6951548688,1596907.9992222765
2017-01-30,5024188.6754400665,2386035.3538701953,10819401.62820561,1190623.3834198785,1570294.1383461717
2017-01-31,5024619.760984293,2386402.061000628,10822139.660441432,1190880.8076043199,1570842.305780883
2017-02-01,5058499.898607328,2404899.3420293787,10946969.114819795,1196818.1587289658,1586374.214357955
2017-02-02,5048054.769991034,2399677.9144708114,10912002.308277354,1195478.657690937,1582690.388219748
2017-02-03,5091302.763745118,2422029.8224922023,11062763.181696843,1201991.2013727727,1599801.7409880133
2017-02-06,5075935.717356602,2416082.168898029,11023478.056579053,1201336.7732731607,1597925.7545974185
2017-02-07,5087434.154041803,2422710.2720074276,11068669.179957476,1203628.7548963586,1603889.1952773577
2017-02-08,5098412.894658845,2428500.9380733473,11108072.300325133,1205403.175272604,1608483.890543867
2017-02-09,5146276.036549567,2453081.160087482,11274806.733733121,1212374.7997958648,1626955.0128239535
2017-02-10,5173728.800644123,2467245.9823347167,11371509.983755445,1216423.5124048209,1637685.1851684127
2017-02-13,5216590.197566624,2489511.6727434658,11523889.86493579,1222780.550645447,1654665.1712221154
2017-02-14,5241012.26977375,2502699.421020481,11614672.622574951,1226757.6063387224,1665290.1198112827
2017-02-15,5294814.570416139,2530650.988097666,11807251.369822396,1234608.7172393487,1686466.0242737494
2017-02-16,5285835.313338382,2526410.2481906065,11777989.147211285,1233674.9320594375,1683773.7294398092
2017-02-17,5322548.583547636,2545067.657928367,11907206.543927033,1238728.233411662,1697426.682044336
2017-02-21,5364398.847449317,2566513.1193763567,12056251.830306893,1244564.6417145315,1713279.792180618
