Date,100% SPY,90/10 Healthcare,90/10 Consumer Staples,90/10 Utilities
2017-11-30,30278.7011585124,31397.26967325039,30362.00099604548,30910.011507422005
2017-12-31,30645.926751182138,31704.947954348023,30762.59920250729,31018.834365247763
2018-01-31,32373.10386196679,33529.72628440479,32369.06388568977,32466.279589547572
2018-02-28,31196.016569687636,32272.844974292202,31063.080661017266,31277.700260826816
2018-03-31,30340.906172461488,31380.85229009983,30266.394710274537,30629.63880450853
2018-04-30,30497.719746752227,31565.028855747456,30284.937627100335,30838.50295066761
2018-05-31,31239.08127305562,32239.76084046823,30907.73854364361,31468.244903199615
2018-06-30,31418.742174601284,32469.48281066348,31197.026868799712,31724.29035704154
2018-07-31,32582.7016108401,33791.832714951874,32360.194881126576,32826.92159660303
2018-08-31,33622.740775411534,34921.27245659904,33308.13041320695,33808.0748816473
2018-09-30,33822.63697098114,35238.869939294505,33518.12391304456,33964.98052569653
2018-10-31,31485.34504023268,32810.02757664084,31476.196461402687,31931.04043172252
2018-11-30,32069.365409313774,33697.23541259507,32073.151103833705,32583.850949916734
2018-12-31,29245.719659949908,30703.723248121976,29245.64964778788,29893.91929602853
2019-01-31,31587.29397139943,33021.88389166492,31503.379740361088,32125.559651761978
2019-02-28,32611.212988813055,33993.05770905351,32479.619271197625,33198.990067929
2019-03-31,33201.51259021917,34546.70325461814,33130.53014314272,33837.70021261224
2019-04-30,34557.87654439949,35640.819802845734,34443.90935762786,35095.155621089514
2019-05-31,32354.071058850983,33556.71379587455,32338.879507757025,33080.44444225764
2019-06-30,34605.47049746293,35875.61912822172,34533.219692774095,35232.93826496908
2019-07-31,35128.68942228077,36269.91801721799,35083.47124800465,35698.35082933887
2019-08-31,34540.5120978748,35712.98358362083,34629.3809588249,35376.7165574503
2019-09-30,35212.59700806724,36312.97604651821,35296.30271367667,36163.99869883509
2019-10-31,35990.96698386015,37250.41021484619,35981.57568088326,36830.67967439884
2019-11-30,37293.77430241093,38665.991496580624,37203.40497547447,37920.303158908864
2019-12-31,38377.3619539442,39818.51534533073,38266.43245940423,39038.86365258357
2020-01-31,38361.856988393374,39663.59679150315,38264.31395286134,39328.48005408517
2020-02-29,35324.91443699834,36591.93284777616,35223.94972739645,36121.77258413482
2020-03-31,30913.847299979872,32435.39908259693,31064.15507803983,31719.068448649028
2020-04-30,34839.40674195242,36549.05265971355,34822.71321821364,35382.169202298974
2020-05-31,36499.33395143489,38213.79875053125,36374.37626486992,37046.98978990186
2020-06-30,37146.62445472313,38665.33158363376,36949.01973955098,37433.4286685252
2020-07-31,39334.27395729206,40919.75871323674,39161.41187262237,39714.318112732
2020-08-31,42079.672189829515,43533.38753621853,41805.004097641824,42073.13862460507
2020-09-30,40504.062687204845,41991.88740831124,40321.08173953246,40700.52079300751
2020-10-31,39494.1534852228,40882.401001319806,39301.149350030726,40006.16271678326
2020-11-30,43790.19559788784,45173.07857617922,43448.14107573853,43905.49963323583
2020-12-31,45412.5469573695,46852.02176432231,44974.909127322935,45393.499916655586
2021-01-31,44949.77908211321,46519.35851013334,44353.99730239,44937.34116670821
2021-02-28,46199.61707433564,47516.62656374369,45430.78804864954,45788.84247578854
2021-03-31,48297.055868245225,49643.422286090296,47645.76073870512,48120.69390009319
2021-04-30,50852.472482568366,52186.1296973853,50023.31946318435,50615.3072412482
2021-05-31,51186.37872451152,52606.73796768697,50399.072222962204,50802.46701383464
2021-06-30,52334.35140248466,53790.24158703033,51408.665758350835,51731.08588509906
2021-07-31,53611.97410184979,55269.39021286101,52653.33851033416,53081.590303607125
2021-08-31,55207.460540280765,56867.84904583206,54135.450307211606,54705.72317946398
2021-09-30,52634.47640977625,54155.876911290805,51635.623621657134,52084.216761512085
2021-10-31,56327.50914958211,57827.11010302481,55108.652163892475,55631.50607759654
2021-11-30,55874.93059298132,57201.79976211729,54641.86005982754,55140.073425127994
2021-12-31,58459.011882959414,60151.137603013936,57422.77543083605,57935.93150872431
2022-01-31,55375.817230938184,56859.423561706564,54576.791203105655,54987.792137265234
2022-02-28,53741.285673813996,55320.397621702235,53038.9727995686,53418.55731227467
2022-03-31,55761.44650896384,57537.531065407784,54940.34047710601,55759.283121227345
2022-04-30,50867.31249453753,52773.22195330118,50645.269283734575,51115.01389641946
2022-05-31,50982.126485718334,52980.67503349268,50549.97865098731,51448.16131422549
