date,ffr,sp500_ret,nasdaq_ret,cpi,cpi_yoy,ffr_real,ffr_trailing_change,sp500_ret_fwd12m,sp500_ret_fwd24m,nasdaq_ret_fwd12m,nasdaq_ret_fwd24m,regime_A,regime_B,regime_C
2001-03-31,5.31,-0.0907990299317124,-0.1441701748235138,176.2,2.9205607476635587,2.389439252336441,-0.54,-0.013645970576484867,-0.26358043246560703,0.010323211669963417,-0.2513126176432917,4-6%,Stabile (−1÷+1pp),2-4%
2001-04-30,4.8,0.004486936234206151,0.15059080111404954,176.9,3.2691185055458316,1.5308814944541682,-1.2199999999999998,-0.052561808419363976,-0.22811772025161003,-0.19612619361046335,-0.29342170814239743,4-6%,Discesa (≤−1pp),0-2%
2001-05-31,4.21,0.06879332982212372,-0.0020942213274410815,177.7,3.6151603498542295,0.5948396501457704,-2.0599999999999996,-0.13854541356862649,-0.23943546630754764,-0.22853173269170335,-0.2303263736417811,4-6%,Discesa (≤−1pp),0-2%
2001-06-30,3.97,-0.023886522998986193,0.02433773370291248,178.0,3.248259860788849,0.7217401392111511,-2.56,-0.16971926205181642,-0.1763779930936641,-0.3174863100947648,-0.23803875530011975,2-4%,Discesa (≤−1pp),0-2%
2001-07-31,3.77,-0.026602271718158432,-0.061125589974818206,177.5,2.719907407407396,1.0500925925926041,-2.77,-0.2387952323306376,-0.1488268843847158,-0.33964391384563486,-0.11988947073730716,2-4%,Discesa (≤−1pp),0-2%
2001-08-31,3.65,-0.020458392719590712,-0.1087435823835089,177.5,2.719907407407396,0.930092592592604,-2.85,-0.21404737482529534,-0.1324948290300828,-0.2660916825731392,0.019829410687336235,2-4%,Discesa (≤−1pp),0-2%
2001-09-30,3.07,-0.11247324753688759,-0.16921479460205724,178.3,2.648244099021313,0.42175590097868687,-3.4499999999999997,-0.1565785279968932,0.008339834528142465,-0.21199305669535828,0.22079445270063047,2-4%,Discesa (≤−1pp),0-2%
2001-10-31,2.49,0.03184031500485007,0.12832502353051023,177.7,2.126436781609198,0.3635632183908024,-4.02,-0.19377879680957488,-0.0029588617611255863,-0.2072169786582243,0.163309109465116,2-4%,Discesa (≤−1pp),0-2%
2001-11-30,2.09,0.050531461992649795,0.1428427174395126,177.4,1.895462377943713,0.19453762205628689,-4.42,-0.18171131568476173,-0.0394279301905992,-0.2281291842656351,0.032162509154648466,2-4%,Discesa (≤−1pp),0-2%
2001-12-31,1.82,0.014660493827160614,0.010889206630141812,176.7,1.551724137931032,0.26827586206896803,-4.58,-0.2018819105437919,-0.024302038029662465,-0.30994444166259305,0.039135642186625574,<2%,Discesa (≤−1pp),0-2%
2002-01-31,1.73,-0.0029768923282063042,-0.007770288321925167,177.1,1.142204454597362,0.587795545402638,-4.25,-0.2012801604239176,0.026905265996038707,-0.3064350737383902,0.08402324171633624,<2%,Discesa (≤−1pp),0-2%
2002-02-28,1.74,-0.03352769324169336,-0.1041014702929981,177.8,1.1376564277588264,0.6023435722411736,-3.75,-0.22658593869716281,0.07407553224159069,-0.21856303399704624,0.18343279116852673,<2%,Discesa (≤−1pp),0-2%
2002-03-31,1.73,0.04945270708851068,0.06638125486143864,178.8,1.4755959137344066,0.2544040862655934,-3.5799999999999996,-0.25339224500882207,0.007443336884844998,-0.2589625045640561,0.10230425959317246,<2%,Discesa (≤−1pp),0-2%
2002-04-30,1.75,-0.03514432146808921,-0.08452087786885465,179.8,1.6393442622950838,0.11065573770491621,-3.05,-0.18529537165834686,0.05424758498817828,-0.12103331861118871,0.1539869292180971,<2%,Discesa (≤−1pp),0-2%
2002-05-31,1.75,-0.02820371386288323,-0.042321523738758415,179.8,1.1817670230725996,0.5682329769274004,-2.46,-0.11711592732573883,0.057026066268547115,-0.0023262667126145997,0.25057134013477045,<2%,Discesa (≤−1pp),0-2%
2002-06-30,1.75,-0.05920958484544303,-0.09377409808697357,179.9,1.0674157303370846,0.6825842696629154,-2.22,-0.00801985489667334,0.15565851656931784,0.11640433879894196,0.42578241346646517,<2%,Discesa (≤−1pp),0-2%
2002-07-31,1.73,-0.10758499174901215,-0.09160586818294958,180.1,1.4647887323943731,0.26521126760562685,-2.04,0.11819204472586864,0.26598707865949356,0.33278173354634255,0.44887938180418074,<2%,Discesa (≤−1pp),0-2%
2002-08-31,1.74,0.011387908232716182,-0.009473053155282574,180.7,1.8028169014084439,-0.06281690140844387,-1.91,0.10376267370706294,0.23436379826069964,0.3895869367756135,0.4187462269630855,<2%,Discesa (≤−1pp),<0% (accomodante)
2002-09-30,1.75,-0.04757730170036345,-0.10797507712726828,181.0,1.5143017386427315,0.23569826135726846,-1.3199999999999998,0.195534934785758,0.3320886932453013,0.5492178883361363,0.6422956585580855,<2%,Discesa (≤−1pp),0-2%
2002-10-31,1.75,-0.013670427090415216,0.13516375561202376,181.3,2.025886325267323,-0.27588632526732315,-0.7400000000000002,0.23668434208046807,0.35193690862026217,0.4673738944310757,0.507255072846162,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2002-11-30,1.34,0.06625576760313434,0.11269655986467231,181.3,2.19842164599775,-0.8584216459977501,-0.7499999999999998,0.17387920451720307,0.3284589071424049,0.3372218357195429,0.43899373123731467,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2002-12-31,1.24,-0.010350613050820745,-0.0962610560230257,180.9,2.376910016977929,-1.136910016977929,-0.5800000000000001,0.22249824287922393,0.3789650571742609,0.5058724324897526,0.652968529228197,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-01-31,1.24,-0.002225175530297885,-0.0027241741626625737,181.7,2.5974025974025983,-1.3574025974025983,-0.49,0.2856889426223157,0.3633935531407553,0.5629729830188199,0.5723977952902242,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-02-28,1.26,-0.06414835982615952,0.009405467883588425,183.1,2.9808773903261976,-1.7208773903261976,-0.48,0.3887458038095162,0.481340586284567,0.5144315442636145,0.550642522306678,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-03-31,1.25,0.013078981637456133,0.011250463776207198,184.2,3.0201342281878985,-1.7701342281878985,-0.48,0.34936093303336957,0.458479036004916,0.487514823989708,0.49511687211750277,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-04-30,1.26,0.0528585883640631,0.08587709908926211,183.8,2.2246941045606317,-0.9646941045606316,-0.49,0.2940242982712884,0.3518866455726559,0.312890412859268,0.3243029106541413,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-05-31,1.26,0.05312211698232416,0.08701578902953178,183.5,2.057842046718572,-0.7978420467185721,-0.49,0.19724219632460738,0.3008425893206865,0.2534872858826045,0.3119738751230603,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-06-30,1.22,0.05704184889192776,0.014073534334753335,183.7,2.1122846025569686,-0.8922846025569686,-0.53,0.16500166084366685,0.2574809902070907,0.2771200934245386,0.2875282081572619,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-07-31,1.01,0.005959008097165874,0.08445575108472614,183.9,2.1099389228206533,-1.0999389228206533,-0.72,0.13217321177585184,0.27263000520921343,0.08710927328582074,0.26180231431892675,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-08-31,1.03,-0.0016632411120290902,0.0327447257227822,184.6,2.158273381294973,-1.1282733812949728,-0.71,0.11832355601861799,0.2787021801080356,0.020984142420864327,0.20470017056602408,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-09-30,1.01,0.03161180897328375,-0.0055023325400979095,185.2,2.3204419889502725,-1.3104419889502725,-0.74,0.1142197977543955,0.24298556612871924,0.06008049024137918,0.21143919279722323,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-10-31,1.01,0.02027829004159143,0.07519392425709559,185.0,2.0408163265306145,-1.0308163265306145,-0.74,0.09319481343630964,0.18631054553664472,0.027178607011097755,0.11098156781335566,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-11-30,1.0,0.012105862179991211,0.014003412509903335,184.5,1.7650303364588948,-0.7650303364588948,-0.3400000000000001,0.13168280179967717,0.21855508014746539,0.07610696505192016,0.1544646389397608,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2003-12-31,0.98,0.030638103099766,0.017718620463622825,184.3,1.8794914317302513,-0.8994914317302514,-0.26,0.12798939810868548,0.20768142882986118,0.09768164524749379,0.12110066274968512,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-01-31,1.0,0.049349613809100745,0.0350911131458993,185.2,1.9262520638414937,-0.9262520638414937,-0.24,0.060438110605471884,0.16776651367327022,0.006030054501134252,0.13312664891541814,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-02-29,1.01,0.010866621928678155,-0.02194375838633955,186.2,1.6930638995084513,-0.6830638995084513,-0.25,0.06667511233593015,0.15502102318978905,0.023910607369626025,0.1469964463159128,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-03-31,1.0,-0.015651967301054115,-0.006722977125380281,187.4,1.7372421281216077,-0.7372421281216077,-0.25,0.08086650524722705,0.19082498046544494,0.0051105696596724925,0.18503916491303207,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-04-30,1.0,0.009681370368393338,-0.04159769708110894,188.0,2.285092491838947,-1.285092491838947,-0.26,0.04471503926059728,0.18882228201412898,0.008692650721714656,0.2281437778615263,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-05-31,1.0,-0.025642533901163,0.03783260031179925,189.1,3.051771117166213,-2.051771117166213,-0.26,0.0865325272648434,0.21051115557387456,0.04665910049440569,0.11089919700411177,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-06-30,1.03,0.028576768611045633,0.033192519377690965,189.7,3.2661948829613596,-2.2361948829613594,-0.18999999999999995,0.07938128542791278,0.1450358064324433,0.008149675810686041,0.07252931087951642,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-07-31,1.26,-0.02238779617924369,-0.07689033353854702,189.4,2.9907558455682492,-1.7307558455682492,0.25,0.1240594566029789,0.17969121612348338,0.16069501505133066,0.11946504156897642,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-08-31,1.43,-0.013875701446348199,-0.030073596056502172,189.5,2.654387865655483,-1.2243878656554832,0.3999999999999999,0.1434098595404596,0.22370668724170817,0.1799401386485291,0.20581874190014138,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-09-30,1.61,0.02782624489054597,0.03257977382985189,189.9,2.5377969762419017,-0.9277969762419016,0.6000000000000001,0.11556585929799357,0.2207129688936209,0.14278038691324269,0.20843588667424795,<2%,Stabile (−1÷+1pp),<0% (accomodante)
2004-10-31,1.76,0.0010259530328244892,0.04182296302210475,190.9,3.189189189189201,-1.429189189189201,0.75,0.08517761972144577,0.26355653943122626,0.0815855784283801,0.2162592404449002,<2%,Stabile (−1÷+1pp),<0% (accomodante)
