date,azienda,azionario
2051-05-31,81032.15045694112,99563.46900682071
2051-06-30,81420.94093023978,105326.81118562187
2051-07-31,81810.70829722675,105435.8849281561
2051-08-31,82201.45501249221,102513.79602317212
2051-09-30,82593.18353679388,100074.52870317032
2051-10-31,82985.89633707245,104873.45331627275
2051-11-30,83379.59588646723,110630.12239305378
2051-12-31,83774.2846643316,114513.39828207242
2052-01-31,84028.35304261134,114266.14632698703
2052-02-29,84282.63032797075,115283.04580544884
2052-03-31,84537.11669218315,116701.92706805016
2052-04-30,84791.81230716307,115759.64641971652
2052-05-31,85046.71734496646,117736.96464063389
2052-06-30,85301.83197779067,116687.04990869247
2052-07-31,85557.1563779747,120100.78462806488
2052-08-31,85812.69071799921,122258.03730538751
2052-09-30,86068.43517048673,120544.12750785197
2052-10-31,86324.38990820167,117103.59952766534
2052-11-30,86580.55510405054,120353.88894796498
2052-12-31,86836.930931082,128189.52834125096
2053-01-31,87095.45343966805,127385.43104196807
2053-02-28,87354.19428103736,134564.4581135132
2053-03-31,87613.15363958084,145647.9655166465
2053-04-30,87872.33169984513,142276.58895610532
2053-05-31,88131.72864653275,139176.6484838911
2053-06-30,88391.34466450219,142841.59844861893
2053-07-31,88651.17993876807,144862.28043681878
2053-08-31,88911.23465450124,139949.93236290038
2053-09-30,89171.50899702897,145217.4259857633
2053-10-31,89432.00315183503,147307.0053933117
2053-11-30,89692.71730455983,152054.5697349848
2053-12-31,89953.65164100059,155349.4898088628
2054-01-31,90212.74183837029,143827.2650169752
2054-02-28,90472.04490163087,145832.68625433347
2054-03-31,90731.56100567078,151061.65735303494
2054-04-30,90991.29032552218,146051.86983482595
2054-05-31,91251.23303636102,143740.8618800769
2054-06-30,91511.3893135072,147019.99172384487
2054-07-31,91771.75933242463,144712.82495096826
2054-08-31,92032.3432687214,143424.14718176352
2054-09-30,92293.14129814986,144809.6378382761
2054-10-31,92554.15359660676,150710.05104680744
2054-11-30,92815.38034013339,148668.26618347422
2054-12-31,93076.82170491564,155084.82103309478
2055-01-31,93446.49339540904,153882.22999254358
2055-02-28,93816.8978079383,151308.12912109363
2055-03-31,94188.03639482339,155665.48874015606
2055-04-30,94559.91061126292,155373.78113341937
2055-05-31,94932.52191533984,151276.38246622568
2055-06-30,95305.87176802711,152362.77586100833
2055-07-31,95679.96163319351,141056.29748796928
2055-08-31,96054.79297760934,136918.37827626415
2055-09-30,96430.36727095213,138470.31604097763
2055-10-31,96806.68598581248,136923.34373583322
2055-11-30,97183.75059769976,139404.77130165885
2055-12-31,97561.56258504797,147641.88334003525
