date,bucket_lt15,bucket_15_20,bucket_20_25,bucket_25_30,bucket_30_40,bucket_gt40
2008-05-31,10.987485939430291,21.114503274731433,3.04736808202988,2.348234661288446,1.396510838454666,1.188799694573061
2008-06-30,10.987485939430291,21.114503274731433,2.8888875227985125,2.348234661288446,1.396510838454666,1.188799694573061
2008-07-31,10.987485939430291,21.114503274731433,2.699101643890107,2.348234661288446,1.396510838454666,1.188799694573061
2008-08-31,10.987485939430291,21.114503274731433,2.767011389173083,2.348234661288446,1.396510838454666,1.188799694573061
2008-09-30,10.987485939430291,21.114503274731433,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2008-10-31,10.987485939430291,17.022682241486116,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2008-11-30,10.987485939430291,15.86102404339,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2008-12-31,10.987485939430291,15.9707157543233,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-01-31,10.987485939430291,15.727668851420123,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-02-28,10.200322740113899,15.727668851420123,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-03-31,9.596667948139112,15.727668851420123,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-04-30,10.752354231874067,15.727668851420123,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-05-31,10.752354231874067,16.726470972015633,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-06-30,10.752354231874067,17.06034481172918,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-07-31,10.752354231874067,17.305594416118915,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-08-31,10.752354231874067,18.66932499176616,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-09-30,10.752354231874067,19.338275500360492,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-10-31,10.752354231874067,19.78375830272369,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-11-30,10.752354231874067,20.18408957946024,2.636610165010896,2.348234661288446,1.396510838454666,1.188799694573061
2009-12-31,10.752354231874067,20.18408957946024,2.700040177695664,2.348234661288446,1.396510838454666,1.188799694573061
2010-01-31,10.752354231874067,20.18408957946024,2.727333051395477,2.348234661288446,1.396510838454666,1.188799694573061
2010-02-28,10.752354231874067,19.59453779613696,2.727333051395477,2.348234661288446,1.396510838454666,1.188799694573061
2010-03-31,10.752354231874067,19.59453779613696,2.877603117062767,2.348234661288446,1.396510838454666,1.188799694573061
2010-04-30,10.752354231874067,19.59453779613696,2.990016707500359,2.348234661288446,1.396510838454666,1.188799694573061
2010-05-31,10.752354231874067,19.59453779613696,2.811939369835432,2.348234661288446,1.396510838454666,1.188799694573061
2010-06-30,10.752354231874067,18.91840190352509,2.811939369835432,2.348234661288446,1.396510838454666,1.188799694573061
2010-07-31,10.752354231874067,18.884842247074133,2.811939369835432,2.348234661288446,1.396510838454666,1.188799694573061
2010-08-31,10.752354231874067,19.021758399451755,2.811939369835432,2.348234661288446,1.396510838454666,1.188799694573061
2010-09-30,10.752354231874067,19.021758399451755,2.9050043089679063,2.348234661288446,1.396510838454666,1.188799694573061
2010-10-31,10.752354231874067,19.021758399451755,3.034228617963672,2.348234661288446,1.396510838454666,1.188799694573061
2010-11-30,10.752354231874067,19.021758399451755,3.108529485412856,2.348234661288446,1.396510838454666,1.188799694573061
2010-12-31,10.752354231874067,19.021758399451755,3.2183825554169774,2.348234661288446,1.396510838454666,1.188799694573061
2011-01-31,10.752354231874067,19.021758399451755,3.314083985011389,2.348234661288446,1.396510838454666,1.188799694573061
2011-02-28,10.752354231874067,19.021758399451755,3.401669373705103,2.348234661288446,1.396510838454666,1.188799694573061
2011-03-31,10.752354231874067,19.021758399451755,3.331313294877532,2.348234661288446,1.396510838454666,1.188799694573061
2011-04-30,10.752354231874067,19.021758399451755,3.383498545230042,2.348234661288446,1.396510838454666,1.188799694573061
2011-05-31,10.752354231874067,19.021758399451755,3.3899775207615477,2.348234661288446,1.396510838454666,1.188799694573061
2011-06-30,10.752354231874067,19.021758399451755,3.2692886235625336,2.348234661288446,1.396510838454666,1.188799694573061
2011-07-31,10.752354231874067,19.021758399451755,3.3677093448199633,2.348234661288446,1.396510838454666,1.188799694573061
2011-08-31,10.752354231874067,19.021758399451755,3.009187568927626,2.348234661288446,1.396510838454666,1.188799694573061
2011-09-30,10.752354231874067,18.84251878704721,3.009187568927626,2.348234661288446,1.396510838454666,1.188799694573061
2011-10-31,10.752354231874067,18.84251878704721,3.106467122489055,2.348234661288446,1.396510838454666,1.188799694573061
2011-11-30,10.752354231874067,18.84251878704721,3.164017280500656,2.348234661288446,1.396510838454666,1.188799694573061
