date,bucket_lt15,bucket_15_20,bucket_20_25,bucket_25_30,bucket_30_40,bucket_gt40
1929-11-30,3.1440704807914663,5.341803978283072,1.6471772014909567,1.3383264199824698,1.104544260626252,1.0
1929-12-31,3.1440704807914663,5.341803978283072,1.7192111898943512,1.3383264199824698,1.104544260626252,1.0
1930-01-31,3.1440704807914663,5.341803978283072,1.7506095562518456,1.3383264199824698,1.104544260626252,1.0
1930-02-28,3.1440704807914663,5.341803978283072,1.8667981011437516,1.3383264199824698,1.104544260626252,1.0
1930-03-31,3.1440704807914663,5.341803978283072,1.9437499140711543,1.3383264199824698,1.104544260626252,1.0
1930-04-30,3.1440704807914663,5.341803978283072,1.9437499140711543,1.4278300274174225,1.104544260626252,1.0
1930-05-31,3.1440704807914663,5.341803978283072,1.8338973785864319,1.4278300274174225,1.104544260626252,1.0
1930-06-30,3.1440704807914663,5.341803978283072,1.6547348993051345,1.4278300274174225,1.104544260626252,1.0
1930-07-31,3.1440704807914663,5.341803978283072,1.6256117188631354,1.4278300274174225,1.104544260626252,1.0
1930-08-31,3.1440704807914663,5.341803978283072,1.6110473390995634,1.4278300274174225,1.104544260626252,1.0
1930-09-30,3.1440704807914663,5.341803978283072,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1930-10-31,3.1440704807914663,4.627539063517659,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1930-11-30,3.1440704807914663,4.312888357021024,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1930-12-31,3.1440704807914663,4.046018658684055,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-01-31,3.1440704807914663,4.18992927291406,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-02-28,3.1440704807914663,4.5309334926866285,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-03-31,3.1440704807914663,4.638791222965782,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-04-30,3.1440704807914663,4.217604151475734,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-05-31,3.1440704807914663,3.8312718771276786,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-06-30,3.1440704807914663,3.728634518693368,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-07-31,3.1440704807914663,3.872457119089976,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-08-31,3.1440704807914663,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-09-30,2.6923139220865213,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-10-31,2.3490420004905364,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1931-11-30,2.3972966705932963,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
