,Bitcoin,Oro,Argento,Rame,Petrolio (WTI),Treasury USA 20+,Nasdaq 100,Energy,Healthcare,Financials,Value (S&P500),Consumer Staples,Small Cap (Russell 2000),Real Estate (REIT),Difesa & Aerospazio,Semiconduttori,USA (S&P 500),ACWI (ETF),Mercati Emergenti,Europa,Germania,Regno Unito,Cina,Giappone,America Latina,Corea del Sud,Australia,India,Canada,Taiwan,MSCI World
Germania,0.26903383714164636,0.15076519258441778,0.29146205373651185,0.43425604493651915,0.24984923599382666,-0.09390528068226128,0.7010451735199587,0.5023719329724676,0.6179180621618368,0.6782051469194931,0.8294155205388013,0.48178592126062153,0.7454705928299428,0.6694359037678288,0.7117367170263629,0.6452701637314588,0.7913315786883294,0.9066836913482212,0.8034327269389835,0.9525053806073139,1.0,0.8280903429858456,0.5900001733123551,0.5845380543703013,0.6821921211651734,0.6979390863920292,0.7339453393945662,0.6785296065397065,0.7535705795180543,0.6479168540264998,0.89202721286135
Regno Unito,0.21693027771011114,0.1959774737572064,0.3290623123465882,0.5128612856876975,0.39307048846327425,-0.13766293466646584,0.5985628115982161,0.6739464567343197,0.628236547338695,0.7280519340634777,0.8375712610184556,0.565840498433437,0.726952599892328,0.6498534781545028,0.7268652096723248,0.5459660268211286,0.791249491373651,0.8971630207608268,0.793808849615037,0.9542571756971435,0.8280903429858456,1.0,0.6009089806724768,0.6206735751572883,0.7310812621111131,0.6425847511318784,0.7980483472073949,0.6597485668061663,0.802469536045854,0.6080128576880527,0.8909541672141688
Cina,0.024894796001150427,0.25841113865008936,0.2841286723827227,0.4193114112278791,0.2927948136981091,-0.03706935737166657,0.4375611669282292,0.39253681586964845,0.32086757433235175,0.42166753918108413,0.47757800131508893,0.3142919320098612,0.4240318398936716,0.3609270863155707,0.36891265095643466,0.3557417539436972,0.47945090035911714,0.6046485280461931,0.7781597786054131,0.5873000550982765,0.5900001733123551,0.6009089806724768,1.0,0.4690080173371855,0.5394284309169444,0.5205682526254798,0.6085587854468807,0.5075367549167569,0.5666381913212246,0.5665583385994633,0.5545977458455285
Giappone,0.2014790163866607,0.15287347348004388,0.2371607403927212,0.33571130470640853,0.22403219702721472,0.010396167352218823,0.569534928819683,0.43374193682016154,0.526880218044927,0.5496559681300175,0.6530055904061673,0.38827953575389257,0.6351173346031486,0.5648653520169031,0.6408040552514145,0.5389937833405523,0.633641686956026,0.8091684471130685,0.6874718156362083,0.7559065528944356,0.5845380543703013,0.6206735751572883,0.4690080173371855,1.0,0.5054742772747047,0.6239371721168743,0.6290306107102304,0.5785181209183805,0.5998798342530638,0.5389132063074598,0.7336070508993069
America Latina,0.17353719512853058,0.31200492186124634,0.37942034626976906,0.46964796282616433,0.3685284735472427,-0.13580737246190774,0.5183853222851483,0.6220467228768428,0.45636665241722474,0.5703355055690014,0.6731425990148094,0.48637800523751756,0.6024036866697289,0.508775178779165,0.5781674558465861,0.45943810245066946,0.6351582296103137,0.7226637990837276,0.80081289315554,0.716586167136651,0.6821921211651734,0.7310812621111131,0.5394284309169444,0.5054742772747047,1.0,0.6179562986025864,0.7591782230560699,0.6371965655381641,0.777598597725942,0.5866201383213219,0.7113286717433823
Corea del Sud,0.11819657207602463,0.2233113020658454,0.3279720088340554,0.4791773939657422,0.18907728790690956,-0.010588462533275871,0.6552044867468696,0.4165955616506521,0.49439364490791216,0.505184815597775,0.649592656800456,0.3934368762968098,0.6719157458477588,0.5451866831713923,0.5990822726549441,0.6955289798617357,0.6880413621570588,0.7697755855205175,0.8469925243845245,0.7147546002932419,0.6979390863920292,0.6425847511318784,0.5205682526254798,0.6239371721168743,0.6179562986025864,1.0,0.704246374660918,0.5715328072013112,0.6732246330501797,0.7899964200392645,0.7204628669094504
Australia,0.28991625963174467,0.27125655239840935,0.3607804373887401,0.5338434489567564,0.33480475326183307,0.0005298295652799395,0.6111644100241224,0.5620362628128392,0.5722976232477798,0.6267963057013627,0.7578284747827168,0.48701534387983664,0.7463759304564794,0.7000095263716593,0.6662888338629095,0.5674145055982742,0.7292156174930298,0.8797057871137857,0.8398855591201687,0.8509090013307,0.7339453393945662,0.7980483472073949,0.6085587854468807,0.6290306107102304,0.7591782230560699,0.704246374660918,1.0,0.6871481590930778,0.7950881842818714,0.6514909209388566,0.8432471412714196
India,0.21551714711688072,0.20894027058284578,0.34144096811125757,0.43343330725501256,0.23644270663060318,-0.06970029854170287,0.5486277899032359,0.40938221464261726,0.4985781707263168,0.6150525008342207,0.6178630704163912,0.46387890316202895,0.5578576543610321,0.5722271837958981,0.520795301977587,0.4499438366259721,0.6143462622382835,0.7005339684216185,0.7490829441912938,0.6856897925812736,0.6785296065397065,0.6597485668061663,0.5075367549167569,0.5785181209183805,0.6371965655381641,0.5715328072013112,0.6871481590930778,1.0,0.6627348786356635,0.6191285095446287,0.6766330514497297
Canada,0.27293463421818753,0.3012147824973874,0.40186051208972434,0.5637114247058724,0.40897848869911857,-0.10472112989922713,0.6809629632819638,0.6693569936246325,0.5803751088935512,0.6755598624366411,0.8118574794569167,0.45944332848910957,0.7795799061364092,0.6530929319241934,0.7133152727250667,0.5960043441497943,0.8099755687937855,0.8866595001993294,0.8131089147178057,0.8338064418257015,0.7535705795180543,0.802469536045854,0.5666381913212246,0.5998798342530638,0.777598597725942,0.6732246330501797,0.7950881842818714,0.6627348786356635,1.0,0.6335283403105547,0.8633147409352315
Taiwan,0.1432421045290886,0.15638882529522366,0.2683790622450042,0.45970801857101695,0.19415372060267133,-0.026816836721221423,0.6725944491163058,0.3708035858863191,0.43116322501164467,0.5032136474173498,0.6165278657563533,0.3288570859421901,0.6463938930133591,0.5616553657642153,0.5347536404832319,0.7286981109557278,0.6735869592945939,0.8034756237966237,0.8348937220696375,0.7090348405606564,0.6479168540264998,0.6080128576880527,0.5665583385994633,0.5389132063074598,0.5866201383213219,0.7899964200392645,0.6514909209388566,0.6191285095446287,0.6335283403105547,1.0,0.6960554163328929
