Date,leaps_nav,leaps_options_value,leaps_bond_value,bh_nav
2008-04-08,578782.0054394808,350456.88075518917,228325.12468429154,322272.5842647078
2008-04-09,566993.595677516,336889.3471248512,230104.24855266482,319690.9954221207
2008-04-10,573033.7758104766,344071.1913132301,228962.58449724657,321147.3633887312
2008-04-11,544885.4467523987,314722.89842441597,230162.54832798275,314630.421454027
2008-04-14,539928.2828327527,310516.41148282855,229411.87134992413,313591.42123274924
2008-04-15,545525.1726068798,317446.1660222074,228079.00658467243,315059.4597206091
2008-04-16,578209.1626458716,352423.9792131365,225785.18343273515,322234.2340942531
2008-04-17,578832.4045268458,353589.6431181192,225242.76140872654,322461.2195875184
2008-04-18,606439.767801414,381546.4008190155,224893.3669823985,328336.62409704004
2008-04-21,603562.1865847622,378252.85611684585,225309.33046791633,327853.3034335195
2008-04-22,590028.8708834004,364494.4993104096,225534.37157299084,324991.55824794533
2008-04-23,594130.6673856239,369137.93629547424,224992.7310901497,325960.4927747291
2008-04-24,603502.7713985177,380388.8188958005,223113.95250271715,328086.9855675981
2008-04-25,613427.6346434099,391038.0056507819,222389.62899262796,330244.562162395
2008-04-28,611483.8412309447,388114.55062266317,223369.29060828162,329924.1903881634
2008-04-29,605033.0556668986,381439.6866591496,223593.369007749,328668.1044366361
2008-04-30,598839.9881904665,373692.024175422,225147.96401504453,327430.7329787322
2008-05-01,626752.6992370079,401762.42814120406,224990.27109580385,333069.3212590132
2008-05-02,631709.1112964771,408788.75069475465,222920.36060172247,334173.6430197464
2008-05-05,624134.4697989966,400990.2157716062,223144.25402739033,332685.37024870067
2008-05-06,636345.4618103137,414115.21373136423,222230.24807894955,335257.66888997407
2008-05-07,607618.5623339594,384220.2826534996,223398.27968045973,329211.7001412172
2008-05-08,613078.7769084924,388127.08133325464,224951.69557523777,330446.09400597675
2008-05-09,601964.8623058047,376596.9168272069,225367.94547859783,328250.12926076486
2008-05-12,618890.9300717403,393680.83158670185,225210.0984850384,331893.9588322343
2008-05-13,617979.0637913991,395032.3267961353,222946.73699526378,331792.8378059118
2008-05-14,624129.4916483832,401527.2604443336,222602.23120404966,333148.40296038735
2008-05-15,641036.9555013786,416697.19021487515,224339.7652865035,336701.249817347
2008-05-16,642833.9242681533,418841.4404992619,223992.48376889134,337149.1940713817
2008-05-19,643929.6627733498,419522.1707081422,224407.49206520757,337478.9388769909
2008-05-20,628567.7917877062,403172.46150445123,225395.33028325494,334376.29369366553
2008-05-21,603220.7366370896,378366.3551465145,224854.38149057512,329035.1205750265
2008-05-22,606950.3717287185,384164.38286406914,222785.98886464932,329922.65047948767
2008-05-23,586453.0593306518,362306.83823398995,224146.22109666181,325590.6314507479
2008-05-27,596521.0823418371,373864.81098707614,222656.27135476095,327845.74187236454
2008-05-28,602322.2819602237,381523.86513632647,220798.41682389722,329171.1838851813
2008-05-29,610291.4190349599,390396.08525955625,219895.33377540362,330953.62276432547
2008-05-30,612412.5859444772,392107.82799999655,220304.7579444807,331481.877441378
2008-06-02,593384.2549671629,371545.93112432427,221838.32384283864,328027.76400946267
2008-06-03,584367.0096492094,361362.2739845781,223004.73566463136,326156.76515182544
2008-06-04,583448.1628596266,361546.061721337,221902.10113828958,326077.6230131512
2008-06-05,613793.9240041876,393365.7107106808,220428.2132935068,332462.2868954294
2008-06-06,567218.454094073,344506.3595906085,222712.0945034645,322220.7319390803
2008-06-09,567618.7971823199,346386.324062259,221232.47312006095,322503.5560961898
2008-06-10,563586.9184340927,344011.58188649773,219575.33654759495,321744.3743973381
2008-06-11,539407.3069721619,319609.5196967074,219797.7872754545,316335.75562017784
2008-06-12,542849.1366937268,325444.35421656177,217404.78247716505,317399.8282836445
2008-06-13,564456.0040352747,347753.90487290197,216702.0991623728,322202.1851707818
2008-06-16,564188.7476558655,347081.53595811414,217107.21169775134,322255.32131811633
2008-06-17,554105.1710588983,336592.2617977007,217512.90926119764,320100.30742124474
2008-06-18,540258.4788329547,321414.8566661697,218843.62216678492,317018.45259435795
2008-06-19,544726.5714686614,326962.9252087281,217763.64625993327,318234.65275295224
2008-06-20,519422.957263361,300512.2496381681,218910.70762519294,312360.4197195858
2008-06-23,518734.89000234567,300346.2670409732,218388.62296137252,312403.2501374613
2008-06-24,514953.1513062302,294857.5439375282,220095.60736870198,311550.14070548594
2008-06-25,522450.0655151405,302692.8114730045,219757.25404213596,313396.8394480024
2008-06-26,485639.34847231524,264912.1975335695,220727.15093874576,304220.2102581702
2008-06-27,481183.3496733246,258919.604921516,222263.74475180864,303114.86154056597
2008-06-30,482419.6255811779,260120.68906978355,222298.93651139433,303524.45178857143
2008-07-01,483892.02402879694,261935.79837785763,221956.2256509393,304715.99793385586
2008-07-02,462542.5415849478,240173.67112560588,222368.8704593419,299196.4076835873
