market,date,cape,fwd5_ann,fwd10_ann
France,2007-07,27.4,-0.07812497421819231,0.017824801971861426
Germany,2007-07,27.7,-0.05067077829266853,0.029798985408438172
India,2007-07,38.7,-0.0383175829198501,0.03205108392277034
Indonesia,2007-07,55.7,0.12825000631041483,0.07373145339058484
Italy,2007-07,22.8,-0.16247218029569976,-0.040534717546054866
Japan,2007-07,62.1,-0.06795388095256083,0.016365416430822677
Netherlands,2007-07,18.6,-0.06074111149164696,0.040213594716548506
Norway,2007-07,27.8,-0.04216980492832345,-0.00951982007658414
South Africa,2007-07,24.6,0.05585493975401801,0.039565420479613644
South Korea,2007-07,27.9,-0.014602984355764126,0.02719637956640164
Spain,2007-07,24.9,-0.11502777326172486,-0.0011364355089411582
Sweden,2007-07,32.0,-0.005912881027164918,0.03979622078273137
Switzerland,2007-07,29.1,0.0032332523120810475,0.05660312119938182
Taiwan,2007-07,27.4,-0.008810501442191088,0.05653307973112387
Thailand,2007-07,120.2,0.11506949594468674,0.08247659168192611
US Large,2007-07,26.7,0.012668272170117234,0.0779733155463691
Asia ex Japan,2008-01,27.4,0.03483357133341358,0.0644089808149233
Australia,2008-01,24.6,0.051729624139652985,0.04376787474629862
Austria,2008-01,28.0,-0.1296897803115391,-0.023228339992443336
Belgium,2008-01,13.7,-0.04844429199479039,0.031220991950698718
Brazil,2008-01,24.7,-0.01083033974408465,-0.0047390189914627845
Canada,2008-01,28.6,0.018980587534509707,0.028782294074529702
China,2008-01,30.5,0.022936648036794738,0.06977989892222336
Denmark,2008-01,29.1,0.05761871757110537,0.08951382351852066
Developed Markets Large,2008-01,23.5,0.020035712600590783,0.07026959843033787
Emerging Markets,2008-01,25.9,0.023482316730006003,0.04219979352429637
Europe,2008-01,19.1,-0.004477761075621367,0.03634505509063701
Finland,2008-01,23.7,-0.11918015251482716,-0.002303819301046617
France,2008-01,21.5,-0.01759225000539677,0.04107002437341789
Germany,2008-01,23.0,0.001146614065915097,0.0471217984369674
India,2008-01,41.4,-0.03386043546369466,0.024047100508721275
Indonesia,2008-01,65.3,0.09420265760957536,0.06255995641592094
Italy,2008-01,18.5,-0.09875276395531518,-0.020477340251505605
Japan,2008-01,44.2,-0.025087110337421503,0.04342593240707826
Netherlands,2008-01,15.1,-0.0002770693752192077,0.05953148084604698
Norway,2008-01,20.2,0.022630190328877475,0.021032544132185693
South Africa,2008-01,22.1,0.07831231453991028,0.06723387547014648
South Korea,2008-01,21.8,0.03272210754242266,0.05939320384850255
Spain,2008-01,20.7,-0.049838668311959156,0.007185721641419951
Sweden,2008-01,22.0,0.07834415291501773,0.07226510367837924
Switzerland,2008-01,23.0,0.05641286490051245,0.06887733509494609
Taiwan,2008-01,21.6,0.047299270079636635,0.0837747889810927
Thailand,2008-01,89.9,0.164434557278196,0.11180364387143094
US Large,2008-01,24.4,0.041447123705985245,0.0981127067056835
Asia ex Japan,2008-07,22.9,0.04327981277736703,0.06279359312673582
Australia,2008-07,20.2,0.04475634271462958,0.047520141528892834
Austria,2008-07,23.7,-0.13619108468198315,-0.03640345434798198
Belgium,2008-07,9.5,0.013482568413513807,0.045865216878271386
Brazil,2008-07,22.0,-0.07490799345156174,-0.03674141077894455
Canada,2008-07,27.6,0.005884329519134868,0.0236556738583924
China,2008-07,28.4,0.007762940985356348,0.05708724637468077
Denmark,2008-07,27.3,0.03417711839784099,0.07370396124907952
Developed Markets Large,2008-07,20.4,0.048816589082036455,0.07457847770049963
Emerging Markets,2008-07,22.3,0.00861691726189906,0.03220599837505689
Europe,2008-07,16.2,0.01297644494364536,0.03623480628580178
Finland,2008-07,17.1,-0.08464410251159538,0.018318162842834607
France,2008-07,18.2,-0.0009030287605865661,0.039642844390640475
Germany,2008-07,19.7,0.011362828224325217,0.03869747638089138
India,2008-07,30.4,-0.0037125611967818717,0.05158414494905483
Indonesia,2008-07,48.0,0.10757592845118258,0.05060786378992388
Italy,2008-07,14.1,-0.09229978739610845,-0.018890735571021167
Japan,2008-07,38.1,0.008213928141115101,0.04182068775475911
Netherlands,2008-07,12.2,0.02858215124720287,0.06418441844891554
Norway,2008-07,20.3,-0.014188737300525833,0.005809608063361393
South Africa,2008-07,20.2,0.048595050947022767,0.046497182360340616
South Korea,2008-07,18.7,0.037154105213014876,0.05243684414670491
Spain,2008-07,17.3,-0.045982746922521134,-0.001016873842080157
Sweden,2008-07,18.3,0.0956439365013535,0.0675723439674607
Switzerland,2008-07,20.1,0.07430776036183762,0.06644172588320663
Taiwan,2008-07,18.7,0.054752135447538874,0.08222698614124746
Thailand,2008-07,35.0,0.1850410966004956,0.12132931213225051
US Large,2008-07,21.4,0.08300441229103295,0.10645718190971953
Asia ex Japan,2009-01,14.1,0.1692371243531483,0.11796750338719275
Australia,2009-01,14.1,0.20258550166753797,0.11405265947054799
Austria,2009-01,9.0,0.10237669844767816,0.056331773065079416
Belgium,2009-01,5.3,0.19818662886738836,0.10936790121593765
Brazil,2009-01,13.6,0.06698272157377039,0.06713522290273022
Canada,2009-01,17.3,0.1426779363110764,0.08184065954530984
China,2009-01,16.8,0.12662423113026078,0.10603051379289319
Denmark,2009-01,16.9,0.215987248839435,0.13213992874120772
Developed Markets Large,2009-01,13.9,0.16931787325046965,0.1213782836821018
Emerging Markets,2009-01,13.2,0.15134935569197938,0.10031266463674382
Europe,2009-01,11.1,0.15870792553831614,0.08743888925234589
Finland,2009-01,9.7,0.10461688527834934,0.0890974357642964
France,2009-01,12.0,0.13493585428965305,0.08843581409247925
Germany,2009-01,12.2,0.17937974548856617,0.09040491268118789
India,2009-01,17.2,0.12885809428120631,0.1066532589876017
Indonesia,2009-01,19.6,0.24499486878502585,0.1568704037249704
Italy,2009-01,8.9,0.06572736187930461,0.030915310905837323
Japan,2009-01,20.8,0.0848005918786443,0.06959001330916514
Netherlands,2009-01,8.4,0.16195699297870814,0.11214041482421111
Norway,2009-01,10.1,0.18251011619783286,0.09325309613593347
South Africa,2009-01,15.4,0.1591261579841292,0.09746012959093409
South Korea,2009-01,12.7,0.19171038314261613,0.11664717075945075
Spain,2009-01,11.6,0.1018027496509275,0.04354192865456574
Sweden,2009-01,12.5,0.26157153282334566,0.13102196410571176
Switzerland,2009-01,14.8,0.18346638315108477,0.10800893068762996
Taiwan,2009-01,10.9,0.1965193289220255,0.1356263942789333
Thailand,2009-01,15.7,0.261074196710664,0.17915863513662078
US Large,2009-01,14.7,0.19380656753032466,0.15023359883938214
Asia ex Japan,2009-12,22.0,0.05797658833411856,0.06326949654416114
Australia,2009-12,18.6,0.04793689589358752,0.05206946688104308
Austria,2009-12,11.7,-0.06188143656594314,0.012102096620165925
Belgium,2009-12,7.8,0.11388058029495651,0.06856208459177449
Brazil,2009-12,19.3,-0.09400705108186824,-0.005908159799114743
Canada,2009-12,21.1,0.04947527621353287,0.04345541749053883
China,2009-12,28.3,0.034969593975131774,0.05572136404673489
Denmark,2009-12,19.7,0.14398337814499262,0.11894671696207593
Developed Markets Large,2009-12,18.0,0.10813267076482203,0.10081791271339902
Emerging Markets,2009-12,19.4,0.021137505594351902,0.040420557598276785
Europe,2009-12,14.0,0.05906690485518573,0.05798936432470714
Finland,2009-12,10.9,0.059902268921724566,0.06002302133702142
France,2009-12,15.2,0.030105218427589397,0.060575608152454885
Germany,2009-12,16.0,0.07329485932819102,0.05953096438447392
India,2009-12,28.3,0.026623760996639323,0.038571196794975116
Indonesia,2009-12,25.2,0.08093393472637489,0.05778154917743317
Italy,2009-12,10.9,-0.03499950930600415,0.00769182912469657
Japan,2009-12,23.5,0.056761836339216165,0.06866665851562326
Netherlands,2009-12,11.2,0.06883533374497808,0.08667641680580607
Norway,2009-12,14.3,0.011280035889449813,0.03343006402251936
South Africa,2009-12,17.2,0.06373472816994075,0.033061199790974216
South Korea,2009-12,17.3,0.048633051352405365,0.05609011493378335
Spain,2009-12,15.5,-0.014691713306114074,-0.005268927470278073
Sweden,2009-12,18.3,0.10711430983634296,0.07847915908611158
Switzerland,2009-12,18.9,0.1058516051200511,0.09303324895354703
Taiwan,2009-12,20.2,0.06853525584263132,0.0919508672566911
Thailand,2009-12,19.1,0.15546292876593348,0.10908320955953243
US Large,2009-12,20.4,0.1550184527923022,0.1354642308629721
