date,market,cape
2009-01,Portugal,10.1
2009-01,Singapore,12.6
2009-01,South Africa,15.4
2009-01,South Korea,12.7
2009-01,Spain,11.6
2009-01,Sweden,12.5
2009-01,Switzerland,14.8
2009-01,Taiwan,10.9
2009-01,Thailand,15.7
2009-01,Turkey,8.8
2009-01,US Large,14.7
2009-12,Asia ex Japan,22.0
2009-12,Australia,18.6
2009-12,Austria,11.7
2009-12,Belgium,7.8
2009-12,Brazil,19.3
2009-12,Canada,21.1
2009-12,Chile,34.4
2009-12,China,28.3
2009-12,Colombia,40.4
2009-12,Czech Republic,21.7
2009-12,Denmark,19.7
2009-12,Dev ex US Large,15.9
2009-12,Developed Markets Large,18.0
2009-12,Egypt,17.3
2009-12,Emerging Markets,19.4
2009-12,Europe,14.0
2009-12,Europe ex UK,14.6
2009-12,Finland,10.9
2009-12,France,15.2
2009-12,Germany,16.0
2009-12,Hong Kong,18.8
2009-12,Hungary,11.1
2009-12,India,28.3
2009-12,Indonesia,25.2
2009-12,Ireland,4.2
2009-12,Israel,28.5
2009-12,Italy,10.9
2009-12,Japan,23.5
2009-12,Malaysia,21.6
2009-12,Mexico,25.1
2009-12,Netherlands,11.2
2009-12,New Zealand,11.9
2009-12,Norway,14.3
2009-12,Peru,31.6
2009-12,Philippines,24.6
2009-12,Poland,14.8
2009-12,Portugal,13.3
2009-12,Singapore,19.0
2009-12,South Africa,17.2
2009-12,South Korea,17.3
2009-12,Spain,15.5
2009-12,Sweden,18.3
2009-12,Switzerland,18.9
2009-12,Taiwan,20.2
2009-12,Thailand,19.1
2009-12,Turkey,15.3
2009-12,US Large,20.4
2010-06,Asia ex Japan,20.7
2010-06,Australia,16.1
2010-06,Austria,10.0
2010-06,Belgium,7.9
2010-06,Brazil,19.3
2010-06,Canada,19.7
2010-06,Chile,34.5
2010-06,China,25.5
2010-06,Colombia,39.0
2010-06,Czech Republic,18.1
2010-06,Denmark,23.3
2010-06,Dev ex US Large,14.6
2010-06,Developed Markets Large,16.7
2010-06,Egypt,16.1
2010-06,Emerging Markets,17.6
2010-06,Europe,13.7
2010-06,Europe ex UK,13.4
2010-06,Finland,10.2
2010-06,France,13.3
2010-06,Germany,15.6
2010-06,Hong Kong,18.1
2010-06,Hungary,10.1
2010-06,India,26.9
2010-06,Indonesia,25.7
2010-06,Ireland,4.0
2010-06,Israel,25.1
2010-06,Italy,9.0
2010-06,Japan,21.7
2010-06,Malaysia,21.1
2010-06,Mexico,23.1
2010-06,Netherlands,11.3
2010-06,New Zealand,10.7
2010-06,Norway,11.7
2010-06,Peru,30.4
2010-06,Philippines,24.1
2010-06,Poland,13.8
2010-06,Portugal,11.2
2010-06,Singapore,17.6
2010-06,South Africa,16.1
2010-06,South Korea,16.6
2010-06,Spain,11.5
2010-06,Sweden,19.5
2010-06,Switzerland,17.8
2010-06,Taiwan,18.2
2010-06,Thailand,17.2
2010-06,Turkey,14.7
2010-06,US Large,18.8
2011-01,Asia ex Japan,22.6
2011-01,Australia,17.3
2011-01,Austria,12.8
2011-01,Belgium,8.4
2011-01,Brazil,16.0
2011-01,Canada,22.7
2011-01,Chile,35.3
2011-01,China,25.2
2011-01,Colombia,41.1
2011-01,Czech Republic,17.0
2011-01,Denmark,26.0
2011-01,Dev ex US Large,16.4
2011-01,Developed Markets Large,19.5
2011-01,Egypt,13.5
2011-01,Emerging Markets,19.0
2011-01,Europe,14.6
2011-01,Europe ex UK,15.2
2011-01,Finland,13.1
2011-01,France,15.3
2011-01,Germany,18.2
2011-01,Hong Kong,24.1
2011-01,Hungary,10.9
2011-01,India,23.9
2011-01,Indonesia,23.9
2011-01,Ireland,4.0
2011-01,Israel,25.5
2011-01,Italy,10.3
2011-01,Japan,22.9
2011-01,Malaysia,23.3
2011-01,Mexico,25.7
2011-01,Netherlands,12.7
2011-01,New Zealand,11.8
2011-01,Norway,14.4
2011-01,Peru,34.9
2011-01,Philippines,22.6
2011-01,Poland,16.2
2011-01,Portugal,12.8
2011-01,Singapore,18.8
2011-01,South Africa,18.0
2011-01,South Korea,19.2
2011-01,Spain,12.6
2011-01,Sweden,21.9
2011-01,Switzerland,18.8
2011-01,Taiwan,22.9
2011-01,Thailand,18.2
2011-01,Turkey,15.4
2011-01,US Large,23.2
2011-06,Asia ex Japan,21.4
2011-06,Australia,16.3
2011-06,Austria,12.0
2011-06,Belgium,8.3
2011-06,Brazil,14.2
2011-06,Canada,21.3
2011-06,Chile,34.4
2011-06,China,23.2
2011-06,Colombia,37.9
2011-06,Czech Republic,16.4
2011-06,Denmark,23.2
2011-06,Dev ex US Large,15.5
2011-06,Developed Markets Large,18.7
2011-06,Egypt,12.1
2011-06,Emerging Markets,17.7
2011-06,Europe,14.1
2011-06,Europe ex UK,14.6
2011-06,Finland,10.9
2011-06,France,15.0
2011-06,Germany,18.0
2011-06,Hong Kong,22.5
2011-06,Hungary,10.4
2011-06,India,24.1
2011-06,Indonesia,26.5
2011-06,Ireland,4.5
2011-06,Israel,20.9
2011-06,Italy,9.4
2011-06,Japan,20.5
2011-06,Malaysia,23.2
2011-06,Mexico,24.6
2011-06,Netherlands,11.9
2011-06,New Zealand,12.4
2011-06,Norway,13.6
2011-06,Peru,26.2
2011-06,Philippines,21.7
2011-06,Poland,16.1
2011-06,Portugal,12.0
2011-06,Singapore,17.3
2011-06,South Africa,17.6
2011-06,South Korea,18.0
2011-06,Spain,11.4
2011-06,Sweden,20.8
2011-06,Switzerland,17.7
2011-06,Taiwan,20.9
2011-06,Thailand,18.2
2011-06,Turkey,14.2
2011-06,US Large,22.7
2012-01,Asia ex Japan,18.2
2012-01,Australia,14.6
2012-01,Austria,8.5
2012-01,Belgium,8.0
2012-01,Brazil,13.4
2012-01,Canada,19.0
2012-01,Chile,28.1
2012-01,China,18.6
2012-01,Colombia,33.1
2012-01,Czech Republic,14.0
2012-01,Denmark,20.9
