EURUSD,mese
1.108916595137566,1987-01
1.1286830234628482,1987-02
1.1303801410463319,1987-03
1.1451550470672505,1987-04
1.1590314790733833,1987-05
1.1384664071794024,1987-06
1.1220942140210877,1987-07
1.1133091347654067,1987-08
1.14295877725333,1987-09
1.151144873832488,1987-10
1.2250194039370788,1987-11
1.2632544647885096,1987-12
1.2499770154589,1988-01
1.2147368679900887,1988-02
1.2313087220405783,1988-03
1.23859634460495,1988-04
1.226417030182301,1988-05
1.1823918034578087,1988-06
1.1255882796341432,1988-07
1.1008303290044965,1988-08
1.108816764691479,1988-09
1.1368691200420062,1988-10
1.1836895992569434,1988-11
1.1823918034578083,1988-12
1.1372684418263554,1989-01
1.123292179374135,1989-02
1.1158048959175888,1989-03
1.1096154082601772,1989-04
1.0638930639522008,1989-05
1.0450251096417036,1989-06
1.0926442324253385,1989-07
1.0759725479287618,1989-08
1.0597001852165349,1989-09
1.101129820342758,1989-10
1.1171026917167233,1989-11
1.165021305838621,1989-12
1.200161622861345,1990-01
1.216234324681398,1990-02
1.195269931003068,1990-03
1.2107436501465971,1990-04
1.2308095698101416,1990-05
1.2225236427848971,1990-06
1.2605590427441522,1990-07
1.3185605319208653,1990-08
1.3163642621069451,1990-09
1.3560967796496846,1990-10
1.383450321877601,1990-11
1.3672777896114605,1990-12
1.3638835544444934,1991-01
1.3869443874906557,1991-02
1.2742358138581105,1991-03
1.2097453456857243,1991-04
1.1937724743117584,1991-05
1.1508453824942257,1991-06
1.1493479258029167,1991-07
1.1752040113395235,1991-08
1.208547380332677,1991-09
1.2101446674700735,1991-10
1.2571648075771849,1991-11
1.2983947818112338,1991-12
1.2893102112172914,1992-01
1.2614575167589381,1992-02
1.2286132999962216,1992-03
1.239794309957997,1992-04
1.2639532779111202,1992-05
1.3011900343016773,1992-06
1.3661796547045009,1992-07
1.4015196326193997,1992-08
1.3698733812097303,1992-09
1.3151662967538973,1992-10
1.2343036354231967,1992-11
1.235102278991895,1992-12
1.2114424632692085,1993-01
1.1819924816734593,1993-02
1.1762023158003967,1993-03
1.2176319509266202,1993-04
1.2146370375440014,1993-05
1.180195533643888,1993-06
1.1321770890759038,1993-07
1.1235916707123974,1993-08
1.1701126585890722,1993-09
1.1565357179212015,1993-10
1.126287092756754,1993-11
1.1267862449871904,1993-12
1.1117118476280101,1994-01
1.1160045568097634,1994-02
1.1395645420863627,1994-03
1.1362701373654824,1994-04
1.161227748887304,1994-05
1.1803951945360627,1994-06
1.2179314422648815,1994-07
1.2165338160196593,1994-08
1.2297114349031812,1994-09
1.2536707419641298,1994-10
1.2353019398840694,1994-11
1.210543989254422,1994-12
1.235801092114506,1995-01
1.2494778632284635,1995-02
1.2999920689486304,1995-03
1.3253490022548007,1995-04
1.3051832521451692,1995-05
1.3161646012147705,1995-06
1.3316383203583002,1995-07
1.2925047854920837,1995-08
1.2761325923337694,1995-09
1.296298342443401,1995-10
1.293503089952957,1995-11
1.2733373398433259,1995-12
1.2580632815919706,1996-01
1.250875489473686,1996-02
1.2516741330423848,1996-03
1.2410921057571325,1996-04
1.2262173692901268,1996-05
1.2358010921145062,1996-06
1.2548687073171776,1996-07
1.2663492086172154,1996-08
1.2554676899937016,1996-09
1.2515743025962973,1996-10
1.2678466653085247,1996-11
1.2403932926345214,1996-12
1.2075490758718044,1997-01
1.1571347005977253,1997-02
1.1438572512681162,1997-03
1.1376677636107047,1997-04
1.1411618292237595,1997-05
1.1284833625706743,1997-06
1.0979352460679652,1997-07
1.0674869600113426,1997-08
1.096238128484481,1997-09
1.1165037090402,1997-10
1.1399638638707117,1997-11
1.1100147300445264,1997-12
1.085057118522705,1998-01
1.0874530492288002,1998-02
1.0834598313853083,1998-03
