indice,anni,finestre,da,a,lordo_mediana,netto_p5,netto_p25,netto_mediana,netto_p75,netto_p95,netto_moltiplicatore_mediano,lordo_moltiplicatore_mediano,erosione_pp,solo_costi_pp,solo_tasse_pp,quota_finestre_negative_netto,reale_p5,reale_p25,reale_mediana,reale_p75,reale_p95,reale_moltiplicatore_mediano,quota_finestre_negative_reale,inflazione_mediana
Nasdaq Composite,5,314,1995-06,2026-07,0.14347391577095892,-0.0873392450702449,0.002644885039160161,0.10530224250889941,0.14508975110449723,0.17651056511319943,1.649701068930256,1.9549304492258281,0.0381716732620595,0.009147791326167276,0.029023881935892226,0.24203821656050956,-0.10929951524597142,-0.01740461309023794,0.07723292811676719,0.1323501909730393,0.1637395321661425,1.4506071415723323,0.31210191082802546,0.02178391788647349
Nasdaq Composite,10,254,1995-06,2026-07,0.10853174555358358,-0.0669714039379562,0.038114280935961475,0.08072719792536553,0.13900821193268115,0.16134298851312998,2.1735059759325854,2.8020854924485796,0.027804547628218046,0.008868253964428363,0.018936293663789683,0.16929133858267717,-0.08791727595910669,0.015469099227977456,0.06232930375011758,0.12020452368049273,0.15011536899082714,1.8305923634891905,0.2283464566929134,0.01948207511088651
Nasdaq Composite,15,194,1995-06,2026-07,0.1094312704159478,0.007030722213480034,0.03449403807881796,0.08446482859151838,0.11911338005142175,0.1574369700460999,3.3746778530530834,4.747952142425657,0.02496644182442942,0.008875450163327137,0.016090991661102283,0.02577319587628866,-0.01275073083230852,0.012182896497421325,0.06738391144074107,0.1022484110428557,0.1366524458936154,2.659562641641098,0.13917525773195877,0.01848440149176589
Nasdaq Composite,20,134,1995-06,2026-07,0.09610301628428841,0.03176698899278352,0.05817789104894172,0.07450688755670365,0.10060884066704573,0.11443871209283177,4.209049886033567,6.266534819641988,0.021596128727584762,0.008768824130274022,0.01282730459731074,0.0,0.014990448232988797,0.039661004683865464,0.05399046742886371,0.08065652595378547,0.09372994259982775,2.862422566972856,0.007462686567164179,0.018288203305987905
Russell 2000,1,362,1995-06,2026-07,0.10404001093492932,-0.237210100154867,-0.03802234434128263,0.07086218603115835,0.17107893992650858,0.35131987088949074,1.0708621860311585,1.1040400109349293,0.03317782490377097,0.008280300082012637,0.024897524821758332,0.32044198895027626,-0.25214234830587023,-0.059108410808344586,0.04734254151988726,0.14905945240858143,0.3336003478392407,1.0473425415198871,0.3701657458563536,0.02003731812552334
Russell 2000,3,338,1995-06,2026-07,0.10821605874451468,-0.101332299318952,0.013722170153086688,0.07568792127446855,0.11136307082252966,0.1670859769098837,1.2446833920065616,1.361047703154367,0.032528137470046126,0.008311620440584422,0.024216517029461704,0.20118343195266272,-0.1207789788232434,-0.016124921167428585,0.05687620256980497,0.09380536995165745,0.1474746471707721,1.1805173208894182,0.28402366863905326,0.021147062345178158
Russell 2000,5,314,1995-06,2026-07,0.08353059315653655,-0.028872532793877158,0.017868612779620763,0.05779497522080157,0.10130256552294076,0.1518974268655988,1.3243659437123076,1.4935049734568842,0.025735617935734978,0.008126479448674728,0.01760913848706025,0.1624203821656051,-0.049578510377922005,-0.005742727388954261,0.031919546047915914,0.08640955335941453,0.1321020299344847,1.1701202661449646,0.31210191082802546,0.02178391788647349
Russell 2000,10,254,1995-06,2026-07,0.08905778510499063,-0.0037825512609961304,0.041418855216988626,0.06464093199709442,0.08167324665397857,0.11797510212836584,1.8708279618999337,2.3469956556637497,0.024416853107896208,0.008167933388287807,0.0162489197196084,0.07480314960629922,-0.026593413677841213,0.021530247080550347,0.044857876436961486,0.06233634848711278,0.10656664330278083,1.5508655638105235,0.1968503937007874,0.01948207511088651
Russell 2000,15,194,1995-06,2026-07,0.08489508405318469,0.03260488772289878,0.04480083077263308,0.06310134748874241,0.07733348739094498,0.1028074797407003,2.503976899420197,3.394915198428901,0.02179373656444228,0.00813671313039932,0.013657023434042959,0.0,0.01104563070649095,0.023596571419344292,0.047508760067885514,0.06080283041825407,0.08269923019051424,2.0061617340195026,0.0,0.01848440149176589
Russell 2000,20,134,1995-06,2026-07,0.08242439597260487,0.04053060273785809,0.057184563595151894,0.06251943536740323,0.06961463150138375,0.07559352080820894,3.3630836447024404,4.874739964336619,0.019904960605201638,0.00811818296979494,0.011786777635406698,0.0,0.023577673867677573,0.03904489237233899,0.04358364863152686,0.04990649810684045,0.05531153555758631,2.347179174013032,0.0,0.018288203305987905
