date,strat_lordo,strat_netto,nudo3x,ndx1
2016-06-08,94255.25579018632,71655.96820961818,33266.26265271484,232618.35562738887
2016-06-09,93759.42188027037,71279.01884389498,33089.776831166455,232215.32806122844
2016-06-10,90732.29594046739,68977.69741316352,31952.61161100971,229563.54363352578
2016-06-13,88546.00767315169,67315.60863873418,31128.69173608098,227598.62186918958
2016-06-14,88636.79947885832,67384.63157744317,31172.97290071727,227714.70164077825
2016-06-15,87757.8009986265,66716.38781079317,30846.365374695986,226927.5886034287
2016-06-16,88538.42876599758,67309.84690241989,31154.173659725388,227690.54135443323
2016-06-17,85759.5282708655,65197.23467865029,30099.957868581387,225130.45493906504
2016-06-20,87116.15150647868,66228.5846084613,30631.050456310128,226462.61460709202
2016-06-21,87810.09759468652,66756.14541574933,30906.443814307164,227149.41529802888
2016-06-22,87305.60652880748,66372.61459324392,30723.18487029537,226708.5989996489
2016-06-23,90742.16011948309,68985.19648885998,32035.12743137875,229943.69867810173
2016-06-24,80585.35772566833,61263.65880545856,28123.48509376255,220592.86609603273
2016-06-27,76392.12235764573,58075.822353183416,26455.999245266128,216241.00711569845
2016-06-28,80569.2882426747,61251.44225209096,28144.41184317093,220848.90036966986
2016-06-29,84296.0426435128,64084.64441819569,29604.973791328426,224677.1550670919
2016-06-30,87081.26076505534,66202.05951087092,30681.548411586355,227408.6446178699
2016-07-01,88136.99600262038,67004.66441588684,31091.915689205507,228430.72401029247
2016-07-05,86630.86450280652,65859.65335029273,30529.526870963793,227061.6922113576
2016-07-06,88463.43473915203,67252.83395859509,31233.371041386126,228814.82588044278
2016-07-07,89259.65001013051,67858.14318689158,31545.905838581704,229586.29577640817
2016-07-08,93142.28635102126,70809.85196832744,33004.33240508784,233132.65516538668
2016-07-11,94667.6000015125,71969.44594038768,33579.26165210791,234494.78280867386
2016-07-12,96011.51654077976,72991.1358186527,34084.505916425296,235679.34506859316
2016-07-13,95272.31104082175,72429.16730706886,33818.77253243251,235075.37927773423
2016-07-14,97106.6269826714,73823.6750585322,34500.160653786545,236662.6517180073
2016-07-15,96674.20308863475,73494.93208770898,34348.91879518394,236325.37050089208
2016-07-18,98479.83472244322,74867.63307786355,35017.81882915377,237867.94643472641
2016-07-19,97441.90649660619,74078.56565312488,34643.57477287509,237029.15166355707
2016-07-20,100759.14885209255,76600.44319486596,35859.68636979764,239811.23064195795
2016-07-21,100094.70385535905,76095.31009471335,35623.205868007164,239292.73696759008
2016-07-22,101282.02278520669,76997.94928208372,36059.988161811336,240279.38131800632
2016-07-25,101255.72124803958,76977.95398213666,36055.419713237345,240277.91105590435
2016-07-26,101633.72284814494,77265.32332205577,36197.34749399275,240601.86269658772
2016-07-27,103592.03532239309,78754.09734556051,36911.187302293816,242192.16963587972
2016-07-28,104784.80594476577,79660.8810902077,37346.13715759946,243152.22098827348
2016-07-29,105351.1160249272,80091.40877548781,37554.05211891138,243612.23052306898
2016-08-01,107043.30829685315,81377.86940439539,38167.36693638961,244947.27822294258
2016-08-02,104571.85164522658,79498.9861763384,37279.24057333227,243056.27442085952
2016-08-03,105553.02332991,80244.9053980989,37636.1577786995,243840.80185376646
2016-08-04,106168.37673828551,80712.71744633513,37860.82587874593,244334.8722414693
2016-08-05,109312.19478457012,83102.75208252408,38994.30877001443,246782.0710206391
2016-08-08,108862.22950921956,82760.67357246492,38834.87289820206,246454.70893136508
2016-08-09,109598.44314720764,83320.36757145626,39101.487920408304,247027.6732213447
2016-08-10,108745.69197967523,82672.07788151645,38797.69052126637,246396.90190706297
2016-08-11,110087.68871976795,83692.3082648444,39280.934535568544,247428.86231542783
2016-08-12,110336.9193180767,83881.78162290339,39371.946105844305,247628.95531716218
2016-08-15,111702.97633235987,84920.30342380855,39862.8701219546,248667.1814444815
2016-08-16,109624.74594856036,83340.36383247908,39119.867652761684,247131.260937725
2016-08-17,110180.71347632709,83763.02876677107,39320.47372454234,247562.6789192665
2016-08-18,110394.25950333166,83925.37353146398,39398.27910364094,247734.97237502952
2016-08-19,110210.50167464069,83785.67474203775,39334.36102275747,247610.0123616485
2016-08-22,110365.82344613601,83903.75549867275,39392.29347644692,247740.58104123134
2016-08-23,111038.99426616423,84415.52225878806,39634.60397395117,248257.56135974696
2016-08-24,108617.80509606453,82574.85403559283,38769.68105351711,246460.73174812942
2016-08-25,108060.52412017058,82151.19057451886,38572.24173771633,246051.3198368709
2016-08-26,108614.46387680563,82572.31393001473,38770.93567366108,246482.75792089305
2016-08-29,109112.7799808787,82951.1503419734,38949.398652960306,246869.9113737612
2016-08-30,108076.67020750334,82163.46536504303,38579.67128898026,246097.75346871576
2016-08-31,107735.85943317527,81904.36972304394,38458.49293737877,245849.0419312247
2016-09-01,108603.53428815369,82564.00489461485,38768.75767434555,246519.11570230834
2016-09-02,109606.54833439486,83326.52940328783,39127.11816986624,247287.6526255322
2016-09-06,111709.981224167,84925.62877463843,39878.292601632435,248879.1493123621
