Data,MSCI Europe Momentum
04/2022,145802.97248135263
05/2022,145477.96135608986
06/2022,134114.54122013148
07/2022,136760.19363269044
08/2022,129959.54771822925
09/2022,119508.81227048612
10/2022,127711.17047207706
11/2022,139599.92728740713
12/2022,140091.0087809899
01/2023,147116.29647379337
02/2023,147996.04802336244
03/2023,150678.55250002656
04/2023,159344.50069702574
05/2023,147811.6696629134
06/2023,156228.65985733693
07/2023,159410.92176195828
08/2023,153549.12998674408
09/2023,148010.54332596366
10/2023,144494.05137805705
11/2023,159220.67681731316
12/2023,164432.6824218487
01/2024,166287.53817116024
02/2024,172935.3341887293
03/2024,183568.9134779165
04/2024,179612.8172470493
05/2024,189234.15697657262
06/2024,186523.74786200188
07/2024,189325.37822942474
08/2024,195956.69587367843
09/2024,197608.41671870262
10/2024,189406.2001650198
11/2024,190282.6584007243
12/2024,185722.79976533662
01/2025,200196.56008055044
02/2025,207723.32858419375
03/2025,208293.57945444304
04/2025,223056.3605222558
05/2025,235312.22149955557
06/2025,242668.0445860399
07/2025,241471.3676459652
08/2025,247060.9003377122
09/2025,254695.9350591557
10/2025,250771.75682359285
11/2025,253565.59655606718
12/2025,267222.42616897885
01/2026,286453.7737953731
02/2026,289199.571278998
03/2026,256823.2151478273
04/2026,282085.98972344433
05/2026,285005.88429018465
06/2026,286840.40176068345
07/2026,285187.15820064663
