date,NAV_1x_gross,NAV_2x_gross,NAV_3x_gross,NAV_1x_real,NAV_2x_real,NAV_3x_real
1991-04-30,7.938108,42.021101,139.564827,7.877370,28.829162,70.388083
1991-05-31,8.267710,45.510247,156.925863,8.204093,31.156367,78.838124
1991-06-30,7.891841,41.417249,135.995367,7.830805,28.298874,68.079794
1991-07-31,8.268982,45.420393,155.926072,8.204672,30.967946,77.755862
1991-08-31,8.454623,47.387129,165.665023,8.388503,32.239873,82.292327
1991-09-30,8.313668,45.798500,157.291796,8.248323,31.098330,77.856382
1991-10-31,8.436408,47.107998,163.811819,8.369717,31.916045,80.755006
1991-11-30,8.086333,43.186752,143.310740,8.022090,29.202193,70.397247
1991-12-31,9.012244,53.535563,197.214812,8.940274,36.126700,96.522217
1992-01-31,8.855399,51.643752,186.612972,8.784298,34.775382,90.977751
1992-02-29,8.960405,52.827654,192.804275,8.888125,35.506917,93.681278
1992-03-31,8.787954,50.789987,181.628839,8.716685,34.064173,87.907586
1992-04-30,9.055870,53.844246,197.760991,8.982054,36.039059,95.361945
1992-05-31,9.085990,54.165818,199.330614,9.011571,36.183786,95.779512
1992-06-30,8.951821,52.538358,190.199022,8.878113,35.021411,91.036004
1992-07-31,9.328476,57.001450,214.656104,9.251264,37.915451,102.345154
1992-08-31,9.127095,54.546892,200.829877,9.051172,36.208498,95.396861
1992-09-30,9.232973,55.770845,207.353791,9.155788,36.945426,98.131143
1992-10-31,9.276709,56.247125,209.716507,9.198758,37.181239,98.864002
1992-11-30,9.579680,59.950465,230.589748,9.498806,39.552423,108.321946
1992-12-31,9.700565,61.444305,239.095781,9.618251,40.451346,111.882239
1993-01-31,9.791053,62.574078,245.591703,9.707586,41.115057,114.516651
1993-02-28,9.914744,64.090049,254.118535,9.829852,42.033408,118.095700
1993-03-31,10.125712,66.780286,269.888667,10.038556,43.700001,124.916561
1993-04-30,9.891565,63.663216,250.831545,9.806015,41.574948,115.664081
1993-05-31,10.138854,66.831558,269.458463,10.050768,43.559318,123.816117
1993-06-30,10.171293,67.221285,271.584910,10.082485,43.719611,124.308706
1993-07-31,10.140736,66.777477,268.655665,10.051776,43.342228,122.511775
1993-08-31,10.515181,71.779492,299.272434,10.422482,46.489453,135.946143
1993-09-30,10.433834,70.640175,291.971275,10.341420,45.658032,132.137232
1993-10-31,10.660162,73.714858,311.094178,10.565304,47.548225,140.271258
1993-11-30,10.546353,72.107495,300.711597,10.452072,46.416328,135.086248
1993-12-31,10.677916,73.897720,311.852948,10.581997,47.467048,139.548017
1994-01-31,11.049503,79.096781,345.117150,10.949791,50.703147,153.863271
1994-02-28,10.739249,74.638942,315.849206,10.641934,47.756851,140.340046
1994-03-31,10.273633,68.245576,275.770546,10.180073,43.568074,122.031599
1994-04-30,10.414462,70.034305,286.105592,10.319230,44.627474,126.180928
1994-05-31,10.568539,72.067535,298.317241,10.471462,45.829421,131.079760
1994-06-30,10.310783,68.540249,276.352003,10.215627,43.492862,120.955020
1994-07-31,10.659561,73.231402,305.053666,10.560768,46.379578,133.048132
1994-08-31,11.088436,79.198327,342.801345,10.985168,50.046791,148.907702
1994-09-30,10.815315,75.284291,317.320013,10.714144,47.476037,137.326027
1994-10-31,11.066487,78.730762,338.773633,10.962510,49.548262,146.068506
1994-11-30,10.654506,72.916433,301.560733,10.553958,45.795009,129.538691
1994-12-31,10.811584,75.029086,314.426437,10.709109,47.025738,134.565489
1995-01-31,11.100239,79.065770,339.991158,10.994570,49.454832,144.968996
1995-02-28,11.524410,85.183870,379.941462,11.414274,53.183553,161.463051
1995-03-31,11.868260,90.299273,414.376716,11.754302,56.251509,175.384678
1995-04-30,12.224109,95.770418,452.425678,12.106279,59.549815,190.849399
1995-05-31,12.696114,103.205137,505.360278,12.573186,64.035856,212.355230
1995-06-30,12.994341,108.035451,540.689779,12.867964,66.889796,226.321140
1995-07-31,13.432933,115.361880,595.919600,13.301764,71.287433,248.562501
1995-08-31,13.458278,115.773765,598.929357,13.326253,71.381958,248.803908
1995-09-30,14.024015,125.663384,676.900246,13.885890,77.329437,280.207215
1995-10-31,13.982740,124.863816,669.958204,13.844417,76.672952,276.255887
1995-11-30,14.584693,135.771527,759.016991,14.439815,83.201252,311.825547
1995-12-31,14.865556,140.934260,801.717292,14.717305,86.197288,328.207980
1996-01-31,15.380770,150.662557,884.290221,15.226717,91.950662,360.611778
1996-02-29,15.513928,153.089214,904.033323,15.357932,93.250045,367.362278
1996-03-31,15.665166,155.809445,925.698320,15.507003,94.713287,374.772522
1996-04-30,15.904540,160.448121,965.894055,15.743305,97.334096,389.598826
1996-05-31,16.298580,168.306867,1035.964929,16.132647,101.883516,416.244340
1996-06-30,16.363059,169.574421,1047.073331,16.195827,102.451206,419.222752
1996-07-31,15.645004,154.645700,908.549641,15.484433,93.230986,362.338769
1996-08-31,15.969888,160.956818,963.145588,15.805294,96.828500,382.624117
1996-09-30,16.864568,179.373606,1131.941379,16.690092,107.698895,448.105509
1996-10-31,17.337971,189.470759,1227.745199,17.157815,113.507533,484.065316
1996-11-30,18.639954,218.842046,1522.440031,18.445540,130.849978,598.158088
1996-12-31,18.269595,209.872991,1426.142937,18.078290,125.230353,558.239021
1997-01-31,19.422905,236.886476,1706.734541,19.218687,141.048387,665.497764
1997-02-28,19.565750,240.030666,1737.000856,19.359300,142.656532,675.028461
1997-03-31,18.760265,220.224621,1521.770320,18.561577,130.629525,589.283189
1997-04-30,19.890258,246.813291,1797.456902,19.678745,146.089292,693.354501
1997-05-31,21.087257,276.863479,2129.238675,20.862148,163.543122,818.314975
1997-06-30,22.035313,301.724205,2415.267205,21.799177,177.865744,924.820200
1997-07-31,23.791422,351.032905,3021.944008,23.535443,206.493327,1152.670616
1997-08-31,22.455028,311.922089,2521.616146,22.212500,183.109634,958.230434
1997-09-30,23.680861,346.028741,2935.376809,23.424119,202.718550,1111.354545
1997-10-31,22.898208,320.361823,2574.747975,22.648916,187.260199,970.829812
1997-11-30,23.948855,349.513658,2922.594905,23.687234,203.924300,1098.313754
1997-12-31,24.359843,360.808774,3055.260622,24.092681,210.064601,1143.717753
1998-01-31,24.638649,368.192564,3137.605546,24.367463,213.946803,1170.398839
1998-02-28,26.404746,422.430870,3849.957708,26.113141,245.012817,1431.355300
1998-03-31,27.758738,466.342023,4458.184597,27.450984,269.905412,1651.089356
1998-04-30,28.043767,475.196757,4574.583559,27.731698,274.468966,1687.922393
1998-05-31,27.547056,458.071813,4323.278079,27.239432,264.062101,1589.546294
1998-06-30,28.669466,495.123490,4843.092756,28.348073,284.812434,1773.784882
1998-07-31,28.370748,483.765920,4661.438446,28.051478,277.683011,1700.609256
1998-08-31,24.264658,350.265185,2824.961462,23.990589,200.635852,1026.695516
1998-09-30,25.812677,392.579114,3304.804756,25.520062,224.416536,1196.659841
1998-10-31,27.923497,457.094941,4121.154174,27.605753,260.741336,1486.514568
1998-11-30,29.607727,512.900105,4884.176911,29.269660,292.008388,1755.568761
1998-12-31,31.314084,571.855164,5722.144366,30.955186,324.879800,2048.832552
1999-01-31,32.630327,618.894225,6410.908357,32.255130,350.956104,2287.786067
1999-02-28,31.608215,578.716119,5766.747631,31.243590,327.563468,2050.964002
1999-03-31,32.872932,623.954706,6425.146414,32.492237,352.381722,2275.886834
1999-04-30,34.155332,671.768200,7148.777814,33.758382,378.612305,2522.863005
1999-05-31,33.335122,637.898323,6583.839810,32.946395,358.821661,2315.247808
1999-06-30,35.188028,709.101927,7689.370412,34.776180,398.024614,2693.582486
1999-07-31,34.094355,664.615532,6959.815214,33.693902,372.289640,2428.935214
1999-08-31,33.918094,655.980569,6797.022075,33.518247,366.665843,2362.894349
1999-09-30,32.984366,618.686894,6200.483160,32.594167,345.111771,2147.484933
1999-10-31,35.084652,696.625367,7355.419631,34.668165,387.797345,2538.110271
1999-11-30,35.789172,723.907699,7776.052739,35.362851,402.163205,2673.332642
1999-12-31,37.897997,810.810584,9201.992384,37.444925,449.482763,3151.362573
2000-01-31,36.002350,727.829500,7762.428197,35.570525,402.691652,2648.883758
2000-02-29,35.312184,698.034868,7256.334960,34.887251,385.453878,2467.403187
2000-03-31,38.768742,835.989623,9421.420161,38.300473,460.607277,3190.732717
2000-04-30,37.607320,780.200092,8386.639094,37.151676,429.070761,2830.679272
2000-05-31,36.821037,744.073825,7750.961900,36.373330,408.325318,2605.917331
2000-06-30,37.739914,779.853417,8287.880640,37.279409,427.046187,2775.639246
2000-07-31,37.156389,754.346256,7859.718075,36.701546,412.273467,2622.922555
2000-08-31,39.451652,849.545618,9379.200267,38.966939,463.269602,3117.388110
2000-09-30,37.374692,761.237307,7936.500817,36.914028,414.301734,2628.479079
2000-10-31,37.227866,751.133200,7715.663296,36.767407,407.926966,2545.392916
2000-11-30,34.280948,634.809443,5964.451175,33.855521,344.043626,1960.279813
2000-12-31,34.453332,637.851695,5960.406989,34.024416,345.019763,1952.025154
2001-01-31,35.682671,680.919741,6528.001520,35.236985,367.565402,2130.012148
2001-02-28,32.419589,560.636297,4858.062923,32.013447,302.070363,1579.726677
2001-03-31,30.373840,488.491473,3906.490825,29.992013,262.631753,1265.308345
2001-04-30,32.741701,563.539605,4789.163029,32.328829,302.394918,1545.774609
2001-05-31,32.944083,569.102937,4842.211957,32.527240,304.726957,1556.827477
2001-06-30,32.153248,541.287369,4481.346278,31.745087,289.239614,1435.442109
2001-07-31,31.842507,529.330264,4314.682419,31.436980,282.271800,1376.921084
2001-08-31,29.837460,463.725579,3525.929537,29.456120,246.730904,1120.600699
2001-09-30,27.423682,388.841961,2676.606431,27.072381,206.582397,848.370906
2001-10-31,27.957315,402.813065,2808.454975,27.597920,213.526838,886.552845
2001-11-30,30.093963,465.731039,3480.386362,29.705867,246.378121,1094.629957
2001-12-31,30.354995,472.997857,3552.628599,29.962344,249.735909,1113.408197
2002-01-31,29.916647,458.412238,3378.078249,29.528435,241.539737,1054.767198
2002-02-28,29.326985,439.379579,3157.505644,28.945333,231.082408,982.574610
2002-03-31,30.437344,472.339981,3508.991836,30.040052,247.935649,1088.115416
2002-04-30,28.603499,416.166755,2891.836085,28.228907,217.979624,893.224768
2002-05-31,28.380305,408.057169,2791.091559,28.007413,213.274118,858.750958
2002-06-30,26.357082,350.638750,2210.705235,26.009738,182.904624,677.748477
2002-07-31,24.312342,293.888495,1658.738578,23.990893,152.970760,506.522316
2002-08-31,24.468213,294.898786,1644.106700,24.143649,153.167977,500.100028
2002-09-30,21.807639,232.469189,1137.215560,21.517508,120.504715,344.669115
2002-10-31,23.733212,272.270919,1417.941306,23.416397,140.822859,428.020300
2002-11-30,25.122661,303.743652,1659.843738,24.786318,156.796992,499.284039
2002-12-31,23.642139,268.286725,1372.367335,23.324643,138.208995,411.265502
2003-01-31,23.028539,253.231510,1248.769253,22.718335,130.185936,372.831012
2003-02-28,22.669947,244.781068,1182.260232,22.363730,125.608533,351.785889
2003-03-31,22.895973,248.168973,1195.919169,22.585762,127.086947,354.529927
2003-04-30,24.789151,290.034651,1504.292887,24.452274,148.225106,444.310984
2003-05-31,26.088463,320.520289,1741.766046,25.732860,163.472056,512.556706
2003-06-30,26.419856,328.063610,1798.280407,26.058650,166.977884,527.227734
2003-07-31,26.887029,339.078362,1883.877365,26.518279,172.215403,550.182141
2003-08-31,27.405530,351.937743,1989.111078,27.028544,178.382124,578.766911
2003-09-30,27.114939,343.868644,1915.685572,26.740835,173.935810,555.331500
2003-10-31,28.647618,383.307890,2249.879022,28.251082,193.453315,649.579731
2003-11-30,28.887334,389.394675,2300.555667,28.486406,196.162351,661.984818
2003-12-31,30.396497,430.761108,2673.185094,29.973319,216.538999,766.241544
2004-01-31,30.959803,446.437380,2816.293436,30.527572,223.983477,804.418425
2004-02-29,31.374617,458.203030,2925.715609,30.935429,229.462161,832.874416
2004-03-31,30.906568,443.751862,2780.086279,30.472540,221.727369,788.196344
2004-04-30,30.428358,429.592789,2643.139317,29.999794,214.213433,746.584288
2004-05-31,30.836864,440.773622,2742.970112,30.401341,219.361638,772.051286
2004-06-30,31.434572,457.674725,2898.913501,30.989318,227.308470,812.926497
2004-07-31,30.399674,427.701240,2615.760503,29.967828,211.986570,730.790335
2004-08-31,30.515599,430.345244,2634.301259,30.080793,212.840750,733.112201
2004-09-30,30.845377,439.385054,2714.841823,30.404606,216.868238,752.728863
2004-10-31,31.322573,452.531580,2832.417727,30.873697,222.901395,782.422160
2004-11-30,32.576372,489.068792,3178.259459,32.108193,240.408123,874.719299
2004-12-31,33.681377,522.431460,3505.169759,33.195871,256.260125,960.961174
