Data,MSCI ACWI IMI
04/2022,69282.35965960687
05/2022,69321.5541748712
06/2022,63341.55086705383
07/2022,67866.36417821022
08/2022,65456.86887000591
09/2022,59138.71925056093
10/2022,62777.25594704996
11/2022,67554.86764049642
12/2022,64960.16576533845
01/2023,69745.04841583635
02/2023,67806.82346553162
03/2023,69474.71236031495
04/2023,70359.24144882402
05/2023,69510.4118232627
06/2023,73564.64130465311
07/2023,76377.47189135382
08/2023,74184.5762093037
09/2023,71061.68455280496
10/2023,68694.56675393898
11/2023,75044.20305005727
12/2023,78980.2872808181
01/2024,79158.78459555692
02/2024,82466.2274967
03/2024,85073.91099474806
04/2024,82186.24884148379
05/2024,85516.22234773899
06/2024,87099.73069373668
07/2024,88891.7251515823
08/2024,90967.41175773047
09/2024,93061.66582931038
10/2024,90906.43557713612
11/2024,94450.7618901992
12/2024,91910.20212012371
01/2025,94919.41095886136
02/2025,94084.09345520248
03/2025,90434.57230857568
04/2025,91282.80902347615
05/2025,96564.42598446575
06/2025,100940.29389645283
07/2025,102283.39257238974
08/2025,105066.98330176345
09/2025,108684.76812512288
10/2025,110907.71501593059
11/2025,111044.05326210085
12/2025,112188.02757346632
01/2026,115863.82402411586
02/2026,117688.61580325353
03/2026,109104.48646135315
04/2026,120145.10708278594
05/2026,126156.06656826432
06/2026,125389.40187796652
07/2026,125065.4230105507
